"baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_id","ensembl_id_clean","hgnc_symbol","label","regulation"
554.241421415306,0.520512468365719,0.139732207522544,8.58894242486409e-16,2.57615241488669e-15,"ENSG00000188130.14","ENSG00000188130","MAPK12","MAPK12","NS"
11.4421814191197,0.218325124791476,0.125949636423537,0.079279044482205,0.0958348037340505,"ENSG00000188152.13","ENSG00000188152","NUTM2G","NUTM2G","NS"
2142.27050063014,-0.601855784602035,0.176286543835346,0.000479050663811733,0.000718162052420885,"ENSG00000188153.14","ENSG00000188153","COL4A5","COL4A5","NS"
11993.1184304149,0.831448981761135,0.123866097226206,1.28249422997063e-11,3.1131823257802e-11,"ENSG00000188157.15","ENSG00000188157","AGRN","AGRN","NS"
712.009764494774,-0.727941591881098,0.10787466610007,7.44124769121447e-12,1.83455608172867e-11,"ENSG00000188158.16","ENSG00000188158","NHS","NHS","NS"
141.024763778048,0.814902949695562,0.10683578083352,1.58980158585872e-14,4.48278276281896e-14,"ENSG00000188167.9","ENSG00000188167","TMPPE","TMPPE","NS"
679.648012610472,-0.140866503151899,0.14976483279875,0.327977300900535,0.36345654993946,"ENSG00000188171.16","ENSG00000188171","ZNF626","ZNF626","NS"
200.631149595774,-1.79916319432165,0.318731278288802,3.24128178326328e-15,9.46699052834075e-15,"ENSG00000188175.10","ENSG00000188175","HEPACAM2","HEPACAM2","Down"
74.0489454237121,-0.283787468053895,0.217838467299948,1.48344576485311e-11,3.59021663835365e-11,"ENSG00000188176.12","ENSG00000188176","SMTNL2","SMTNL2","NS"
1221.653035903,-1.06994901079035,0.0716255979988625,7.69664880336419e-51,9.68119641558326e-50,"ENSG00000188177.14","ENSG00000188177","ZC3H6","ZC3H6","Down"
203.73576278159,-0.422098628056665,0.0908689343304923,3.01901378363529e-06,5.31368302831287e-06,"ENSG00000188185.13","ENSG00000188185","LINC00265","LINC00265","NS"
2883.55073066818,0.530932851114353,0.0968363222939189,3.489197196907e-08,6.94550981115179e-08,"ENSG00000188186.10","ENSG00000188186","LAMTOR4","LAMTOR4","NS"
1373.48591262469,0.32753567436293,0.106566247404777,0.00235515488596742,0.0033279630592392,"ENSG00000188191.15","ENSG00000188191","PRKAR1B","PRKAR1B","NS"
13.8597537727038,0.412825470683947,0.142122416013598,0.00320286789542999,0.00447506087851467,"ENSG00000188199.10","ENSG00000188199","NUTM2B","NUTM2B","NS"
156.458021565462,1.49750663792674,0.186885145921444,3.3045119526496e-16,1.01342538911498e-15,"ENSG00000188211.9","ENSG00000188211","NCR3LG1","NCR3LG1","Up"
