node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CD3D,10.0,0.64826,5.0,10.0,102.897,3.0,0.09091,147.32583,10.75345,2011.80827,2418968.0,0.22222,
ANK2,15.0,0.43905,7.0,20.0,85.199,3.0,0.1,161.11151,11.02586,4111.7366,1781656.0,0.06316,
EGR3,1464.0,1.34123,8.0,16.0,170.055,1.0,0.1,159.37579,11.07241,118.1517,133800.0,0.38333,
ITGA7,35.0,1.13679,4.0,28.0,197.976,24.0,0.11111,192.7873,11.68276,10441.65528,3432496.0,0.04762,
ANKRD29,1.0,0.0,1.0,2.0,9.001,1.0,0.09091,117.32742,9.81552,0.0,0.0,0.0,
FOS,1809.0,0.73458,18.0,38.0,249.725,10.0,0.11111,214.22063,11.99655,7875.07468,1903672.0,0.14225,
TMOD1,2.0,0.61557,2.0,4.0,24.502,1.0,0.09091,124.06631,10.03103,0.0,0.0,0.33333,
ADD2,5.0,0.61795,3.0,8.0,48.692,2.0,0.1,149.67222,10.81379,1495.00399,627872.0,0.14286,
FOSB,1734.0,1.18776,11.0,22.0,188.05,1.0,0.1,161.12579,11.08103,146.56721,159104.0,0.30303,
PCOLCE2,1.0,0.0,1.0,2.0,47.546,1.0,0.1,147.05437,10.8,0.0,0.0,0.0,
EGR2,1465.0,1.34123,8.0,18.0,181.665,2.0,0.1,166.70913,11.22414,796.21664,358424.0,0.30065,
NTRK2,11790.0,1.03602,14.0,32.0,255.591,3.0,0.1,185.96627,11.51034,2716.06484,1741904.0,0.18548,
ADCYAP1R1,1.0,0.0,1.0,2.0,55.268,1.0,0.09091,137.24726,10.51207,0.0,0.0,0.0,
EGR1,1735.0,0.83332,14.0,30.0,229.854,2.0,0.11111,197.53016,11.73966,3942.65394,1150176.0,0.17011,
KLB,12.0,0.94732,4.0,8.0,158.335,1.0,0.1,160.85317,11.0931,0.11111,8.0,0.35714,
LAMA3,4.0,0.61557,2.0,8.0,77.036,7.0,0.1,149.51865,10.83966,2886.66651,1987912.0,0.07143,
DUSP1,168.0,1.1708,7.0,14.0,176.412,1.0,0.11111,178.06349,11.4431,210.33592,99512.0,0.35165,
ATF3,1704.0,1.23706,10.0,20.0,199.473,6.0,0.11111,180.23016,11.4569,726.03459,338304.0,0.32632,
DST,6.0,0.56839,4.0,8.0,23.834,5.0,0.09091,122.71869,9.98448,928.03168,1157416.0,0.21429,
CBX2,25.0,1.13679,4.0,10.0,182.027,1.0,0.09091,173.14607,11.16207,47.63129,28464.0,0.26667,
DSG3,7.0,0.56839,4.0,10.0,18.705,3.0,0.08333,123.41198,9.94655,1136.67575,592776.0,0.13333,
LTB,1.0,0.0,1.0,2.0,47.913,1.0,0.1,146.02937,10.76897,0.0,0.0,0.0,
COL17A1,4.0,0.61795,3.0,6.0,23.788,1.0,0.09091,121.96869,9.97931,181.98905,154536.0,0.26667,
ADRA2A,1.0,0.0,1.0,2.0,15.997,1.0,0.09091,124.87504,10.07586,0.0,0.0,0.0,
HELLS,271.0,1.10798,8.0,18.0,226.757,2.0,0.09091,170.25202,11.00345,348.11229,547752.0,0.24837,
KLF2,6.0,0.92693,3.0,6.0,105.0,1.0,0.1,149.84603,10.82586,0.0,0.0,0.4,
OGN,12.0,0.77792,5.0,10.0,113.779,2.0,0.1,148.98056,10.76724,131.61904,94112.0,0.26667,
GNG11,2.0,0.61557,2.0,4.0,23.568,1.0,0.09091,127.59051,10.15172,0.0,0.0,0.33333,
SPARCL1,1.0,0.0,1.0,2.0,15.101,1.0,0.09091,120.42861,9.93793,0.0,0.0,0.0,
ADCY5,10.0,0.61557,2.0,20.0,79.017,8.0,0.1,163.51984,11.07414,4577.15243,2080000.0,0.03158,
CALML5,32.0,0.43905,7.0,50.0,178.131,47.0,0.11111,204.74683,11.79138,39347.38737,1.324768E7,0.01959,
CDC6,9.223372036854777E13,1.74828,49.0,98.0,279.427,1.0,0.09091,208.11035,11.51897,836.08597,640328.0,0.27477,
MRC1,15.0,0.75786,4.0,16.0,222.466,2.0,0.11111,207.58016,11.88448,6922.15897,5713240.0,0.11667,
PRELP,10.0,0.75786,4.0,12.0,96.05,2.0,0.1,141.24127,10.58103,1181.65341,844904.0,0.12121,
RAPGEF3,5.0,0.61795,3.0,8.0,48.01,1.0,0.09091,137.04131,10.47931,216.24972,168400.0,0.14286,
PTK7,1.0,0.0,1.0,2.0,1.603,1.0,0.08333,88.35602,8.17069,0.0,0.0,0.0,
ATAD2,59.0,0.71599,9.0,20.0,238.679,2.0,0.1,196.78294,11.67586,1222.50629,1287664.0,0.15789,
MFAP4,8.0,0.92693,3.0,10.0,91.812,2.0,0.1,142.24127,10.6069,1176.43578,952776.0,0.13333,
GNAL,5.0,0.61557,2.0,10.0,52.054,2.0,0.09091,139.54845,10.53621,567.54281,222344.0,0.04444,
MOCS1,4.0,0.0,1.0,8.0,45.324,1.0,0.09091,132.53892,10.26552,688.45172,272128.0,0.0,
STIL,5044.0,1.28292,8.0,20.0,225.552,2.0,0.09091,173.92345,11.09655,1164.50203,437480.0,0.23158,
PKP3,3.0,0.61557,2.0,6.0,39.914,7.0,0.09091,146.65916,10.73621,4282.94258,3357408.0,0.13333,
FERMT1,1.0,0.0,1.0,2.0,11.95,1.0,0.09091,128.44607,10.30517,0.0,0.0,0.0,
PDE2A,3.0,0.0,1.0,6.0,29.206,1.0,0.09091,126.20837,10.08276,38.26079,32456.0,0.0,
DDR2,2.0,0.61557,2.0,4.0,68.793,1.0,0.1,147.8877,10.80517,0.0,0.0,0.33333,
WDR62,3.0,0.61557,2.0,6.0,100.824,1.0,0.08333,149.98936,10.53793,19.24049,2032.0,0.13333,
PDE1C,5.0,0.61795,3.0,8.0,57.038,2.0,0.1,150.58889,10.83276,932.98366,342640.0,0.14286,
PRSS8,2.0,0.0,1.0,4.0,25.845,1.0,0.1,122.57738,9.99655,5.07121,1176.0,0.0,
COL14A1,33.0,0.65858,7.0,20.0,198.221,2.0,0.11111,185.26349,11.55862,3802.54961,2509384.0,0.10526,
PDE3B,5.0,0.61795,3.0,8.0,37.129,1.0,0.09091,127.8917,10.12759,56.14407,36800.0,0.14286,
KRT6B,3.0,0.0,1.0,6.0,14.455,2.0,0.09091,120.9544,9.92241,1483.9684,814264.0,0.0,
PRKAR2B,4.0,0.0,1.0,8.0,96.552,1.0,0.09091,172.20678,11.17931,4623.07811,1817584.0,0.0,
ADCY1,8.0,0.61557,2.0,16.0,79.104,1.0,0.1,162.35317,11.06897,2488.92175,1369008.0,0.03333,
MFAP5,12.0,0.94732,4.0,8.0,86.314,1.0,0.1,140.5746,10.58966,1.33333,24.0,0.35714,
TGFBR2,8.0,0.92693,3.0,10.0,113.932,4.0,0.1,175.81865,11.42931,718.60585,469320.0,0.13333,
ADAMTS5,2.0,0.0,1.0,4.0,81.198,1.0,0.1,150.76151,10.87586,14.76101,12472.0,0.0,
COL2A1,18.0,0.51223,7.0,22.0,192.39,3.0,0.1,174.02103,11.27759,2405.54916,1465040.0,0.06061,
HJURP,9.223372036854777E13,2.37583,68.0,136.0,279.427,8.0,0.09091,216.61035,11.52759,1620.44392,909432.0,0.33747,
MYCL,1.0,0.0,1.0,2.0,24.32,1.0,0.09091,134.84726,10.49483,0.0,0.0,0.0,
MMP11,3.0,0.61557,2.0,6.0,83.218,1.0,0.1,142.82817,10.66552,26.54398,2048.0,0.13333,
FBN2,12.0,0.77792,5.0,10.0,121.915,3.0,0.1,175.26865,11.41897,454.55217,233968.0,0.26667,
SPINT1,4.0,0.61557,2.0,8.0,69.938,1.0,0.1,152.46984,10.88448,1052.3315,1185608.0,0.07143,
FN1,31080.0,0.58127,46.0,96.0,279.577,59.0,0.11111,255.67063,12.38793,50121.76205,2.6391736E7,0.08553,
LIFR,14.0,0.77792,5.0,10.0,142.955,2.0,0.11111,181.18016,11.50862,588.51539,251536.0,0.26667,
COL10A1,7.0,0.56839,4.0,10.0,125.784,1.0,0.1,150.47103,10.82241,55.00806,10920.0,0.13333,
PTTG1,9.223372036854777E13,2.67095,53.0,106.0,279.427,1.0,0.09091,206.0175,11.43621,161.49796,229152.0,0.4097,
CRLF1,2.0,0.61557,2.0,4.0,53.192,1.0,0.1,136.26984,10.51207,0.0,0.0,0.33333,
BGN,140.0,0.78053,11.0,22.0,218.977,2.0,0.1,184.80198,11.52931,681.25756,318368.0,0.19913,
LAMA2,3.0,0.61557,2.0,6.0,55.237,2.0,0.1,147.25675,10.79828,1158.0,415552.0,0.13333,
MMP3,1377.0,0.96846,14.0,30.0,260.256,2.0,0.11111,200.12063,11.76897,1875.18854,701888.0,0.1977,
KIFC1,9.223372036854777E13,2.63819,47.0,94.0,279.427,1.0,0.09091,201.14369,11.38966,73.91723,124424.0,0.42004,
SYN2,2.0,0.0,1.0,4.0,24.341,1.0,0.1,129.62579,10.32241,377.90048,159112.0,0.0,
CNTFR,14.0,0.77792,5.0,10.0,141.973,1.0,0.11111,181.18016,11.50862,588.51539,251536.0,0.26667,
PGM5,2.0,0.0,1.0,4.0,24.9,1.0,0.09091,127.82702,10.17414,82.14027,17496.0,0.0,
UBE2T,4.4481130047384E13,1.80705,25.0,50.0,277.136,1.0,0.09091,182.72345,11.12931,178.13586,89144.0,0.35102,
ADAMTS4,12.0,0.57059,6.0,12.0,172.812,2.0,0.1,179.00198,11.46897,261.76611,167256.0,0.18182,
NOS1AP,2.0,0.0,1.0,4.0,13.859,1.0,0.09091,121.02821,9.97241,117.13139,8392.0,0.0,
ZWINT,9.223372036854777E13,2.36341,64.0,128.0,279.427,2.0,0.09091,212.74369,11.47241,314.43079,283952.0,0.34203,
INHBB,2.0,0.61557,2.0,4.0,10.122,1.0,0.08333,110.91356,9.52414,0.0,0.0,0.33333,
BMP4,37.0,0.62053,9.0,24.0,211.747,5.0,0.1,184.1996,11.51207,6024.14149,3750024.0,0.0942,
HPN,2.0,0.61557,2.0,4.0,65.902,1.0,0.1,151.46984,10.88103,0.0,0.0,0.33333,
TK1,9.223372036854777E13,2.1931,36.0,72.0,279.427,1.0,0.09091,192.77345,11.25345,141.96758,129368.0,0.3795,
NAV3,1.0,0.0,1.0,2.0,20.309,1.0,0.09091,120.39369,9.93448,0.0,0.0,0.0,
INHBA,2.0,0.61557,2.0,4.0,9.497,1.0,0.08333,110.91356,9.52414,0.0,0.0,0.33333,
ACVR1C,3.0,0.61557,2.0,6.0,36.942,3.0,0.09091,138.11392,10.52069,2312.0,1792496.0,0.13333,
CKS2,9.223372036854777E13,1.99096,24.0,48.0,278.331,1.0,0.09091,187.42702,11.29828,49.21276,50024.0,0.39184,
KIF18B,9.223372036854777E13,2.44008,28.0,56.0,279.427,1.0,0.09091,178.33535,10.99655,1.68663,320.0,0.45714,
MYH11,49.0,1.16687,5.0,12.0,72.372,2.0,0.09091,139.54964,10.5431,257.11904,47440.0,0.27273,
TAGLN,26.0,0.90757,5.0,10.0,87.19,2.0,0.1,155.12817,10.97069,621.86431,325816.0,0.31111,
SEMA3B,3.0,0.0,1.0,6.0,53.657,6.0,0.1,152.71984,10.8931,5758.0,5415928.0,0.0,
COL1A1,272.0,0.54042,20.0,44.0,256.693,8.0,0.11111,204.72063,11.79828,9464.31519,3236088.0,0.09302,
CNN1,51.0,0.95098,6.0,14.0,85.882,2.0,0.1,155.27103,10.93276,1921.66568,732360.0,0.21978,
DTL,9.223372036854777E13,1.95345,34.0,68.0,279.13,1.0,0.09091,188.02345,11.15517,41.30443,22136.0,0.34416,
MYLK,26.0,0.90757,5.0,10.0,76.281,1.0,0.1,154.27103,10.92931,590.60777,249016.0,0.31111,
LMOD1,48.0,1.16687,5.0,10.0,61.814,1.0,0.09091,131.89607,10.28621,0.5,8.0,0.4,
FBN1,86.0,0.61311,13.0,26.0,214.54,3.0,0.11111,187.26349,11.57241,2926.63213,1569136.0,0.14769,
ACTA2,52.0,0.80493,7.0,14.0,117.528,1.0,0.1,157.86151,11.0,1261.85809,586976.0,0.24176,
KNL1,9.223372036854777E13,2.34684,36.0,72.0,279.427,1.0,0.09091,188.09012,11.15517,24.65246,22824.0,0.4061,
FADS2,3.0,0.61557,2.0,6.0,25.085,4.0,0.09091,129.24369,10.24138,3186.43313,3101504.0,0.13333,
AOX1,20.0,0.76079,6.0,16.0,71.312,2.0,0.1,137.83333,10.40172,1659.91345,1391360.0,0.13333,
ALDH2,13.0,0.94732,4.0,10.0,61.3,1.0,0.09091,129.25599,10.16034,468.10067,868712.0,0.22222,
CDKN3,9.223372036854777E13,2.58934,47.0,94.0,279.427,1.0,0.09091,203.47702,11.42241,176.0443,98288.0,0.41226,
ACSS3,2.0,0.0,1.0,4.0,28.146,1.0,0.09091,111.48218,9.47069,7.09048,1512.0,0.0,
CDCA2,9.223372036854777E13,2.52903,40.0,82.0,279.427,1.0,0.09091,189.55678,11.13276,834.37793,1717896.0,0.40289,
LPL,883.0,0.91966,13.0,32.0,241.267,17.0,0.11111,194.50397,11.66552,13068.18155,5819192.0,0.14919,
KIF15,9.223372036854777E13,2.67282,57.0,114.0,279.427,1.0,0.09091,206.51035,11.39655,108.12241,218760.0,0.40087,
CD36,683.0,0.73588,16.0,38.0,261.54,10.0,0.11111,209.88016,11.91552,9140.26813,3195760.0,0.11664,
SPAG5,9.223372036854777E13,2.80421,50.0,100.0,279.427,1.0,0.09091,203.22702,11.40345,51.60076,94312.0,0.43798,
SELENOP,3.0,0.0,1.0,6.0,28.191,2.0,0.1,145.31746,10.7931,1359.28576,360504.0,0.0,
CLEC3B,1.0,0.0,1.0,2.0,4.694,1.0,0.09091,115.24766,9.79483,0.0,0.0,0.0,
CDC7,2.1814128E8,1.74408,20.0,40.0,275.129,1.0,0.09091,182.39369,11.19655,47.64735,38288.0,0.3641,
SOX11,2.0,0.0,1.0,4.0,58.173,1.0,0.08333,136.75483,10.36379,299.17081,166200.0,0.0,
PPARG,2533.0,0.60468,27.0,56.0,274.355,10.0,0.11111,224.47063,12.10345,20250.48029,9048176.0,0.10649,
MGLL,10.0,0.64826,5.0,10.0,114.766,1.0,0.1,149.79484,10.82586,163.84684,123240.0,0.22222,
LIPG,13.0,0.77792,5.0,12.0,110.668,2.0,0.1,146.91151,10.70862,1197.47962,806632.0,0.18182,
TFPI2,1.0,0.0,1.0,2.0,40.459,1.0,0.1,141.50556,10.68621,0.0,0.0,0.0,
DGAT2,8.0,0.61795,3.0,14.0,133.407,1.0,0.09091,143.42464,10.57586,326.18908,114456.0,0.08791,
MAD2L1,9.223372036854777E13,2.33854,69.0,138.0,279.427,2.0,0.09091,216.42702,11.50345,316.18811,407192.0,0.33069,
ACOX2,1.0,0.0,1.0,2.0,31.091,1.0,0.09091,128.27702,10.2569,0.0,0.0,0.0,
CCNB2,9.223372036854777E13,2.04331,84.0,168.0,279.427,2.0,0.09091,226.44369,11.59138,2049.88892,1213136.0,0.27203,
CXCL12,5.19316424E8,0.97515,33.0,66.0,279.299,10.0,0.11111,226.90397,12.1,7303.61151,4385776.0,0.17343,
F13A1,2.0,0.61557,2.0,4.0,90.165,1.0,0.11111,175.13254,11.45172,0.0,0.0,0.33333,
SPC25,9.223372036854777E13,2.53381,41.0,82.0,279.427,1.0,0.09091,192.69012,11.20345,19.84713,18632.0,0.42096,
CXCL11,5.19281426E8,1.48955,17.0,34.0,267.217,1.0,0.11111,187.83016,11.52931,604.47714,365776.0,0.32799,
PPP1R3C,1.0,0.0,1.0,2.0,3.805,1.0,0.08333,97.22666,8.81379,0.0,0.0,0.0,
SEMA3E,1.0,0.0,1.0,2.0,2.792,1.0,0.08333,99.24452,8.9069,0.0,0.0,0.0,
CDCA5,9.223372036854777E13,2.47837,58.0,116.0,279.427,1.0,0.09091,208.22702,11.42931,145.95894,226032.0,0.36972,
GYG2,2.0,0.0,1.0,4.0,9.651,2.0,0.09091,117.72742,9.81207,1158.0,794072.0,0.0,
CXCL10,5.1929757E8,0.88816,29.0,58.0,275.566,5.0,0.11111,199.49683,11.64483,6527.59818,5449344.0,0.16455,
SEMA6D,1.0,0.0,1.0,2.0,3.863,1.0,0.08333,99.24452,8.9069,0.0,0.0,0.0,
CXCL9,5.19291514E8,1.25279,20.0,40.0,270.723,1.0,0.11111,191.59683,11.56724,3168.19764,3631808.0,0.26154,
SEMA3C,1.0,0.0,1.0,2.0,3.1,1.0,0.08333,99.24452,8.9069,0.0,0.0,0.0,
CCL21,4.79374801E8,1.59741,16.0,34.0,265.434,1.0,0.1,181.25198,11.40172,381.21794,214568.0,0.31729,
PLXNA4,4.0,0.0,1.0,8.0,9.725,4.0,0.09091,121.30004,9.90517,3468.0,4062000.0,0.0,
ACKR3,120.0,1.29653,5.0,10.0,176.753,1.0,0.1,164.50198,11.18448,0.0,0.0,0.44444,
KIF18A,9.223372036854777E13,2.53398,43.0,86.0,279.427,1.0,0.09091,191.42345,11.16552,27.58671,42280.0,0.41477,
NDC80,9.223372036854777E13,2.50275,60.0,120.0,279.427,2.0,0.1,224.96627,11.80172,4822.64189,5425688.0,0.36947,
CCL5,5.19297664E8,0.99857,26.0,52.0,278.211,9.0,0.11111,202.14683,11.69655,2337.09412,1631520.0,0.19155,
KLF4,4.0,0.0,1.0,8.0,125.788,2.0,0.1,178.78294,11.4931,1358.69304,358992.0,0.0,
PKMYT1,166320.0,1.66287,11.0,22.0,252.003,1.0,0.09091,173.49012,11.07241,3.00427,3344.0,0.42424,
CXCL8,5.18934615E8,0.80941,36.0,74.0,278.49,7.0,0.11111,219.21349,11.91379,7109.35054,3019112.0,0.13254,
ACKR1,2.0,0.61557,2.0,4.0,95.077,1.0,0.1,154.91984,10.93793,0.0,0.0,0.33333,
ESPL1,9.223372036854777E13,2.43081,59.0,118.0,279.427,1.0,0.09091,211.8175,11.51897,1135.95422,712640.0,0.36071,
PLPP2,12.0,0.61795,3.0,16.0,85.662,6.0,0.1,147.57817,10.70862,3794.6367,2060728.0,0.08333,
TROAP,9.223372036854777E13,2.18275,27.0,54.0,278.31,1.0,0.09091,181.97226,11.1069,37.23443,30744.0,0.4137,
SGPP2,6.0,0.92693,3.0,6.0,23.989,1.0,0.09091,117.58535,9.75172,0.0,0.0,0.4,
CLDN7,18.0,0.90757,5.0,10.0,71.663,2.0,0.125,146.04048,10.74828,259.11285,526296.0,0.31111,
GINS2,83544.0,1.2819,15.0,30.0,270.697,1.0,0.09091,168.40202,10.86207,13.15641,3816.0,0.29425,
UGT8,6.0,0.92693,3.0,6.0,27.895,1.0,0.09091,117.58535,9.75172,0.0,0.0,0.4,
NCAPG,9.223372036854777E13,2.50407,67.0,134.0,279.427,1.0,0.09091,212.27702,11.42586,367.86123,394504.0,0.35731,
S1PR1,7.0,0.92693,3.0,8.0,104.827,2.0,0.1,151.22937,10.84138,1098.60062,880792.0,0.21429,
ACER2,7.0,0.92693,3.0,8.0,38.854,1.0,0.09091,126.45202,10.06724,319.03795,143128.0,0.21429,
SCD,9.0,0.56839,4.0,14.0,135.906,7.0,0.1,165.57579,11.2069,5014.23966,3904960.0,0.06593,
MCM2,2.9314440126E10,1.4285,31.0,62.0,278.374,2.0,0.09091,190.34369,11.24655,745.06778,642720.0,0.25912,
ACSL1,16.0,0.66569,6.0,16.0,155.344,2.0,0.1,168.44246,11.25517,2363.71281,1156536.0,0.11667,
H4C8,733.0,0.7981,10.0,26.0,249.867,2.0,0.09091,175.51512,11.12414,1735.34533,1532928.0,0.12308,
ACACB,2.0,0.0,1.0,4.0,56.564,1.0,0.09091,131.43416,10.32069,9.54545,1128.0,0.0,
CLDN4,66.0,1.02445,7.0,14.0,84.446,1.0,0.125,147.43929,10.76379,503.92936,741336.0,0.30769,
CDCA7,2.0,0.0,1.0,4.0,89.323,1.0,0.08333,138.93856,10.24138,0.66667,8.0,0.0,
MDK,3.0,0.61557,2.0,6.0,70.597,1.0,0.1,150.26389,10.82931,123.94455,29216.0,0.13333,
TONSL,7.0,0.92693,3.0,8.0,133.539,1.0,0.08333,150.03936,10.61379,24.36614,9112.0,0.21429,
PROM1,34.0,0.64826,5.0,18.0,182.901,6.0,0.11111,189.63254,11.62586,4628.76152,1424648.0,0.14379,
CDC45,9.223372036854777E13,1.90894,74.0,148.0,279.427,1.0,0.1,226.9996,11.71897,4263.62538,3709392.0,0.2642,
ALDH1A1,21.0,0.75786,4.0,18.0,105.085,4.0,0.11111,155.93611,10.93103,3142.45557,1063688.0,0.11765,
CLDN3,66.0,1.02445,7.0,14.0,81.347,1.0,0.125,147.43929,10.76379,503.92936,741336.0,0.30769,
ABCG2,2.0,0.61557,2.0,4.0,53.572,1.0,0.1,142.78175,10.67759,0.0,0.0,0.33333,
CLSPN,1.4726988E7,1.27743,21.0,42.0,275.881,1.0,0.1,190.4496,11.41379,907.33893,729256.0,0.26249,
CLDN8,30.0,1.03722,5.0,10.0,53.334,1.0,0.11111,118.11349,9.78448,4.5,1280.0,0.35556,
CENPA,9.223372036854777E13,2.26086,73.0,146.0,279.427,3.0,0.09091,218.29369,11.50517,1528.12293,846824.0,0.31422,
JAM2,2.0,0.0,1.0,4.0,13.934,7.0,0.11111,115.39683,9.73966,6888.0,3.57162E7,0.0,
CLDN11,48.0,1.16687,5.0,10.0,62.28,1.0,0.125,143.53929,10.70517,198.75795,441288.0,0.4,
KLK6,1.0,0.0,1.0,2.0,1.272,1.0,0.07143,84.68007,7.8931,0.0,0.0,0.0,
CDCA3,9.223372036854777E13,2.53395,62.0,124.0,279.427,2.0,0.09091,210.76035,11.45345,250.61744,347880.0,0.37031,
CLDN1,49.0,1.16687,5.0,12.0,64.365,8.0,0.125,144.42976,10.71724,8220.75795,3.6615072E7,0.27273,
FOXM1,9.223372036854777E13,2.28828,59.0,118.0,279.427,2.0,0.1,225.1996,11.80517,4899.77304,5427960.0,0.33956,
SOD3,1.0,0.0,1.0,2.0,19.96,1.0,0.1,140.89365,10.68621,0.0,0.0,0.0,
EVPL,5.0,0.61795,3.0,8.0,16.809,3.0,0.08333,121.3215,9.88621,2439.72557,3043648.0,0.14286,
MCM10,9.223372036854777E13,1.616,54.0,108.0,279.427,1.0,0.1,211.21627,11.53966,2564.03978,2422744.0,0.24645,
BMP7,14.0,0.77792,5.0,10.0,155.591,1.0,0.1,179.15198,11.47586,162.18746,157664.0,0.26667,
A2ML1,2.0,0.0,1.0,4.0,2.698,2.0,0.07692,99.86545,8.89138,1158.0,1960152.0,0.0,
FGF10,4736.0,0.94026,18.0,36.0,273.003,1.0,0.11111,206.36349,11.83621,1338.86781,899896.0,0.20317,
GSTM2,6.0,0.92693,3.0,6.0,33.513,1.0,0.1,142.84365,10.71207,0.0,0.0,0.4,
GPAM,5.0,0.61795,3.0,8.0,86.431,2.0,0.1,160.85913,11.13793,1002.85466,371760.0,0.14286,
H2BC5,3.0,0.61557,2.0,6.0,108.606,1.0,0.09091,157.53059,10.77759,417.53373,69552.0,0.13333,
GPLD1,1.0,0.0,1.0,2.0,16.185,1.0,0.09091,115.41988,9.71034,0.0,0.0,0.0,
SPP1,1232.0,0.90134,15.0,30.0,266.436,1.0,0.11111,206.7373,11.86207,2254.9297,1215792.0,0.2069,
TRPV6,1.0,0.0,1.0,2.0,8.562,1.0,0.09091,117.17742,9.80862,0.0,0.0,0.0,
SOX17,1.0,0.0,1.0,2.0,39.032,1.0,0.09091,136.78059,10.51379,0.0,0.0,0.0,
PCSK5,4.0,0.61557,2.0,8.0,57.647,4.0,0.1,145.05198,10.70517,3141.44925,1401480.0,0.07143,
GPIHBP1,2.0,0.61557,2.0,4.0,53.952,1.0,0.1,143.25198,10.68621,0.0,0.0,0.33333,
SFN,29.0,1.13679,4.0,18.0,191.641,12.0,0.1,196.68294,11.69483,9617.13543,4755552.0,0.07843,
THSD7A,1.0,0.0,1.0,2.0,10.995,1.0,0.09091,119.30004,9.89483,0.0,0.0,0.0,
ASF1B,9.223372036854777E13,1.87134,26.0,52.0,278.867,1.0,0.09091,188.95559,11.28966,558.10991,564856.0,0.35897,
MSX2,3.0,0.61557,2.0,6.0,100.714,1.0,0.09091,153.73059,10.90172,35.76548,14656.0,0.13333,
KCNMB1,2.0,0.61557,2.0,4.0,8.238,1.0,0.09091,117.67742,9.81034,0.0,0.0,0.33333,
TGFBR3,4.0,0.0,1.0,8.0,66.499,2.0,0.09091,142.37107,10.62414,1032.7769,697136.0,0.0,
KCNMA1,2.0,0.61557,2.0,4.0,11.113,1.0,0.09091,117.67742,9.81034,0.0,0.0,0.33333,
FANCA,144.0,1.23628,6.0,12.0,188.322,1.0,0.09091,157.72821,10.78793,1.51469,128.0,0.39394,
KCNK5,1.0,0.0,1.0,2.0,7.537,1.0,0.09091,117.17742,9.80862,0.0,0.0,0.0,
POLQ,3.0,0.61557,2.0,6.0,118.721,1.0,0.09091,156.24488,10.79138,15.08869,9584.0,0.13333,
GPD1,2.0,0.0,1.0,4.0,26.788,1.0,0.09091,127.24131,10.18448,5.28571,104.0,0.0,
XRCC2,30.0,1.03722,5.0,10.0,169.5,1.0,0.09091,157.61154,10.78966,1.39971,304.0,0.35556,
JPH2,1.0,0.0,1.0,2.0,16.637,1.0,0.09091,128.54726,10.27241,0.0,0.0,0.0,
ERCC6L,4.377737548806E12,1.95634,23.0,46.0,276.629,1.0,0.09091,181.29012,11.11552,44.49618,31896.0,0.39034,
RUNX1T1,3.0,0.0,1.0,6.0,74.381,3.0,0.1,155.45079,11.02931,609.36069,155032.0,0.0,
RMI2,265.0,1.24398,7.0,16.0,206.327,2.0,0.09091,161.02821,10.81724,1161.06778,808552.0,0.28333,
BLM,390.0,1.03754,10.0,20.0,232.407,1.0,0.09091,166.51154,10.88621,35.21507,16184.0,0.27368,
ARHGAP11A,1.307674368E12,2.10312,15.0,30.0,266.031,1.0,0.09091,173.55678,11.02759,0.0,0.0,0.48276,
GATA3,10.0,0.51861,5.0,14.0,157.297,2.0,0.1,180.88294,11.52414,874.53711,223176.0,0.08791,
NRG2,24.0,1.13679,4.0,8.0,130.121,1.0,0.1,162.68532,11.14483,0.0,0.0,0.42857,
PDK4,2.0,0.0,1.0,4.0,55.195,1.0,0.09091,148.18892,10.85345,61.32189,18584.0,0.0,
ITIH5,1.0,0.0,1.0,2.0,17.77,1.0,0.09091,111.93813,9.58276,0.0,0.0,0.0,
NRG1,24.0,1.13679,4.0,8.0,141.535,1.0,0.1,162.68532,11.14483,0.0,0.0,0.42857,
TNXB,2.0,0.0,1.0,4.0,74.05,1.0,0.1,154.65198,10.96379,88.25135,37816.0,0.0,
AREG,34.0,0.64146,8.0,16.0,211.584,1.0,0.1,173.90198,11.33793,101.95698,45960.0,0.18333,
ESR1,2094.0,0.55039,26.0,60.0,275.624,65.0,0.11111,248.0873,12.38103,43027.7056,2.8114824E7,0.0791,
RELN,2.0,0.0,1.0,4.0,40.416,2.0,0.1,145.89008,10.7931,311.29033,50728.0,0.0,
GREB1,2.0,0.61557,2.0,4.0,79.428,1.0,0.1,170.56627,11.3931,0.0,0.0,0.33333,
E2F1,5.5603042E7,1.14796,26.0,56.0,277.188,4.0,0.1,218.48294,11.91552,9039.58576,6132976.0,0.18961,
CAV1,276.0,0.58558,14.0,32.0,252.597,10.0,0.125,218.61071,12.09138,16811.10739,1.2371392E7,0.10484,
ZBTB16,5.0,0.61557,2.0,10.0,111.989,2.0,0.1,164.03056,11.16034,803.20565,136568.0,0.04444,
FLNC,12.0,0.56839,4.0,20.0,126.343,7.0,0.11111,172.42302,11.34138,6889.07933,2003280.0,0.05263,
PGR,21.0,0.52483,8.0,18.0,179.417,3.0,0.1,186.34008,11.60517,2833.96065,1088328.0,0.11765,
COL9A3,12.0,0.57059,6.0,12.0,134.398,2.0,0.1,155.63532,10.9569,517.5724,749816.0,0.18182,
