baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
4418.579397,0.449479781,0.082939292,6.61E-08,1.25E-07,ETV3,NS,0.449479781,6.901423348,protein_coding
63.33106456,0.418979197,0.270300019,0.104464513,0.123405393,ETV3L,NS,0.418979197,0.908665859,protein_coding
1077.090509,1.409147866,0.192260807,6.63E-14,1.74E-13,ETV4,Up,1.409147866,12.75983193,protein_coding
2614.283328,0.1191888,0.134553402,0.371046552,0.405380059,ETV5,NS,0.1191888,0.392137619,protein_coding
7579.370849,0.662372709,0.100908934,7.45E-11,1.67E-10,ETV6,NS,0.662372709,9.776604191,protein_coding
430.16766,2.831256302,0.147612096,5.81E-83,1.84E-81,ETV7,Up,2.831256302,80.73620444,protein_coding
470.1497089,1.418104615,0.144795678,4.01E-23,1.61E-22,EVA1A,Up,1.418104615,21.79419525,protein_coding
1419.102141,-0.586131032,0.113087815,1.16E-07,2.17E-07,EVA1C,NS,-0.586131032,6.664154434,protein_coding
1798.444632,-0.756669075,0.105300133,2.24E-13,5.71E-13,EVC,NS,-0.756669075,12.24317613,protein_coding
481.4901298,-0.586121483,0.120910112,9.34E-07,1.66E-06,EVC2,NS,-0.586121483,5.781170969,protein_coding
290.9722486,0.58086236,0.115572147,4.21E-07,7.63E-07,EVI2A,NS,0.58086236,6.117204452,protein_coding
833.9615224,0.645736776,0.126815036,3.16E-07,5.78E-07,EVI2B,NS,0.645736776,6.238267481,protein_coding
1331.773578,-0.382237958,0.079349558,1.12E-06,1.98E-06,EVI5,NS,-0.382237958,5.702673326,protein_coding
990.9673933,0.37194344,0.082106578,5.88E-06,9.92E-06,EVI5L,NS,0.37194344,5.003384636,protein_coding
4718.009531,-0.264053721,0.093662451,0.003305645,0.004554206,EVL,NS,-0.264053721,2.341587282,protein_coding
2247.952181,1.746269563,0.165437387,1.40E-26,6.39E-26,EVPL,Up,1.746269563,25.19468456,protein_coding
12419.65933,0.483383523,0.045216589,1.53E-26,6.99E-26,EWSR1,NS,0.483383523,25.15524576,protein_coding
2254.159158,-0.255998848,0.056808162,1.23E-05,2.04E-05,EXD2,NS,-0.255998848,4.690171287,protein_coding
664.8195331,0.125868303,0.09667287,0.188382974,0.215550021,EXD3,NS,0.125868303,0.666451931,protein_coding
949.5853845,4.469855523,0.142813463,4.07E-216,1.54E-213,EXO1,Up,4.469855523,212.8116093,protein_coding
265.8958904,1.03495448,0.065913271,7.94E-56,1.09E-54,EXO5,Up,1.03495448,53.96312094,protein_coding
1998.399446,-0.300659989,0.060994035,6.63E-07,1.19E-06,EXOC1,NS,-0.300659989,5.925356539,protein_coding
2601.179087,-0.014895027,0.061789559,0.833424039,0.849622836,EXOC2,NS,-0.014895027,0.070773823,protein_coding
3608.929422,-0.121293616,0.064705649,0.05697029,0.069449592,EXOC3,NS,-0.121293616,1.158330303,protein_coding
270.8008187,0.267527182,0.104706127,0.009991936,0.013158896,EXOC3L1,NS,0.267527182,1.880780552,protein_coding
294.3877192,0.521292132,0.107965115,1.14E-06,2.01E-06,EXOC3L2,NS,0.521292132,5.696502042,protein_coding
42.7016728,1.82640389,0.216765733,7.28E-18,2.32E-17,EXOC3L4,Up,1.82640389,16.63517962,protein_coding
5096.322224,-0.083792824,0.053668167,0.114353705,0.13438041,EXOC4,NS,-0.083792824,0.871664039,protein_coding
4156.182414,-0.053645901,0.070300109,0.395914456,0.430319394,EXOC5,NS,-0.053645901,0.36620908,protein_coding
1173.637727,-0.471124074,0.072794777,8.54E-11,1.91E-10,EXOC6,NS,-0.471124074,9.719220269,protein_coding
2639.404807,-0.362480166,0.081756112,8.35E-06,1.40E-05,EXOC6B,NS,-0.362480166,4.85512187,protein_coding
3838.674516,-0.312675543,0.060386371,1.49E-07,2.77E-07,EXOC7,NS,-0.312675543,6.557360102,protein_coding
1403.45789,0.05850518,0.065013977,0.370214605,0.404555823,EXOC8,NS,0.05850518,0.393021543,protein_coding
400.1527131,-0.008197725,0.070312208,0.897647487,0.908219819,EXOG,NS,-0.008197725,0.041809025,protein_coding
1227.575943,0.655656576,0.062885349,1.73E-25,7.61E-25,EXOSC1,NS,0.655656576,24.11865203,protein_coding
3102.052495,0.079677488,0.046641849,0.087591752,0.104299688,EXOSC10,NS,0.079677488,0.981716992,protein_coding
1426.931907,0.49966629,0.056977339,1.24E-18,4.09E-18,EXOSC2,NS,0.49966629,17.3878119,protein_coding
831.0426078,0.774721797,0.059800404,1.03E-38,7.58E-38,EXOSC3,NS,0.774721797,37.120517,protein_coding
1063.947701,1.923458811,0.111297771,1.50E-67,3.04E-66,EXOSC4,Up,1.923458811,65.51742315,protein_coding
1293.965126,1.236213435,0.094792494,2.94E-39,2.22E-38,EXOSC5,Up,1.236213435,37.65291674,protein_coding
2162.982817,0.034043444,0.055253301,0.471845968,0.506129417,EXOSC6,NS,0.034043444,0.29573842,protein_coding
1163.372131,0.430632163,0.060890387,1.34E-12,3.29E-12,EXOSC7,NS,0.430632163,11.48281712,protein_coding
1207.440994,0.373563088,0.062065881,1.38E-09,2.89E-09,EXOSC8,NS,0.373563088,8.539248331,protein_coding
1294.805774,0.485632445,0.058704907,1.21E-16,3.64E-16,EXOSC9,NS,0.485632445,15.43870655,protein_coding
875.9243772,0.271774974,0.1155305,0.01827279,0.023414431,EXPH5,NS,0.271774974,1.630516389,protein_coding
4209.6045,0.482279461,0.071799216,1.64E-11,3.80E-11,EXT1,NS,0.482279461,10.42031465,protein_coding
6881.962621,0.36143483,0.059505231,1.42E-09,2.97E-09,EXT2,NS,0.36143483,8.527350821,protein_coding
835.7925672,2.303348462,0.283867966,7.42E-17,2.25E-16,EXTL1,Up,2.303348462,15.64761794,protein_coding
1136.615461,-0.190004642,0.074800411,0.010666274,0.014002743,EXTL2,NS,-0.190004642,1.853786887,protein_coding
3404.417781,0.278459722,0.072819697,0.000181907,0.000276691,EXTL3,NS,0.278459722,3.558005203,protein_coding
99.83931637,1.065139165,0.25472558,0.511975202,0.545140645,EYA1,NS,1.065139165,0.263491436,protein_coding
1688.746977,0.000353809,0.143654406,0.969825205,0.973769119,EYA2,NS,0.000353809,0.011544002,protein_coding
2113.302181,0.349202355,0.060932793,6.91E-09,1.39E-08,EYA3,NS,0.349202355,7.858357644,protein_coding
66.01279607,-0.052371507,0.250061851,1.07E-07,2.01E-07,EYA4,NS,-0.052371507,6.696134352,protein_coding
44.26745589,-0.971303626,0.16505453,2.47E-19,8.40E-19,EYS,NS,-0.971303626,18.07597,protein_coding
3411.4989,-1.73141885,0.067985543,6.68E-144,7.33E-142,EZH1,Down,-1.73141885,141.1346025,protein_coding
1658.082602,3.202383085,0.100694936,1.38E-222,6.12E-220,EZH2,Up,3.202383085,219.2134701,protein_coding
15045.45037,1.07836551,0.091540382,5.09E-32,2.88E-31,EZR,Up,1.07836551,30.54009991,protein_coding
356.4029144,-3.044671486,0.169042746,1.56E-73,3.76E-72,F10,Down,-3.044671486,71.42439892,protein_coding
8834.511681,1.406932395,0.078922931,1.46E-71,3.31E-70,F11R,Up,1.406932395,69.48054116,protein_coding
234.9523631,3.043378766,0.174545595,4.01E-69,8.51E-68,F12,Up,3.043378766,67.07013708,protein_coding
4948.102001,-2.04114829,0.189950884,9.12E-28,4.37E-27,F13A1,Down,-2.04114829,26.35957308,protein_coding
2695.799563,0.30010241,0.103179245,0.003941313,0.005390127,F2R,NS,0.30010241,2.268400987,protein_coding
678.5483174,0.231874914,0.151617399,0.127919537,0.149363482,F2RL1,NS,0.231874914,0.825755572,protein_coding
617.6214909,0.380513349,0.203734245,0.053272347,0.065158507,F2RL2,NS,0.380513349,1.186028875,protein_coding
238.0009923,0.625857842,0.151385493,2.68E-05,4.34E-05,F2RL3,NS,0.625857842,4.362650094,protein_coding
3036.023732,-1.469997154,0.155625992,3.25E-31,1.79E-30,F3,Down,-1.469997154,29.74689517,protein_coding
244.652219,2.254950656,0.186156905,1.82E-20,6.50E-20,F5,Up,2.254950656,19.18709878,protein_coding
63.00990233,1.655453477,0.252336572,0.129419639,0.151005252,F7,NS,1.655453477,0.821007947,protein_coding
2246.098435,-1.946630004,0.105426451,7.40E-77,1.97E-75,F8,Down,-1.946630004,74.70575759,protein_coding
234.9727256,1.123689842,0.212010024,0.011780179,0.015383875,FA2H,Up,1.123689842,1.812934257,protein_coding
1027.199774,-0.130321616,0.105578862,0.209192282,0.237692624,FAAH,NS,-0.130321616,0.623984294,protein_coding
487.3619735,-0.022139903,0.145616349,0.875303875,0.887893892,FAAH2,NS,-0.022139903,0.051638932,protein_coding
2419.897194,0.939376415,0.074433345,3.48E-36,2.32E-35,FAAP100,NS,0.939376415,34.63441987,protein_coding
1620.531665,0.808563661,0.107353625,4.27E-14,1.13E-13,FAAP20,NS,0.808563661,12.94725409,protein_coding
319.4815278,1.442100228,0.08119143,2.42E-71,5.46E-70,FAAP24,Up,1.442100228,69.26317909,protein_coding
442.900947,-1.744884489,0.130734434,1.95E-05,3.19E-05,FABP3,Down,-1.744884489,4.496536425,protein_coding
49631.31679,-4.917716756,0.289647552,8.16E-66,1.55E-64,FABP4,Down,-4.917716756,63.81090811,protein_coding
1123.554274,0.764445532,0.16528036,0.006965954,0.009306514,FABP5,NS,0.764445532,2.031212954,protein_coding
46.0431129,5.22891725,0.342022212,1.33E-46,1.32E-45,FABP6,Up,5.22891725,44.87959344,protein_coding
3383.606128,2.688182805,0.32090704,6.73E-18,2.14E-17,FABP7,Up,2.688182805,16.66874026,protein_coding
137.1089219,1.041610674,0.105064403,1.88E-23,7.62E-23,FADD,Up,1.041610674,22.11791487,protein_coding
2412.467716,0.519496757,0.14103681,0.000196462,0.000298114,FADS1,NS,0.519496757,3.525617731,protein_coding
8827.939294,1.967828606,0.180984228,3.05E-28,1.49E-27,FADS2,Up,1.967828606,26.82725844,protein_coding
2347.538394,-0.9758873,0.139845457,9.36E-13,2.31E-12,FADS3,NS,-0.9758873,11.63584062,protein_coding
22.25066754,5.224281504,0.351163965,8.79E-38,6.24E-37,FADS6,Up,5.224281504,36.20456654,protein_coding
4141.551889,0.544320362,0.056190231,1.18E-22,4.63E-22,FAF1,NS,0.544320362,21.33488655,protein_coding
4366.475011,0.168715792,0.051399014,0.000666163,0.000969678,FAF2,NS,0.168715792,3.013372651,protein_coding
4037.449779,-1.42769252,0.146152267,2.88E-23,1.16E-22,FAH,Down,-1.42769252,21.9353417,protein_coding
1394.097859,0.495195873,0.076219189,9.35E-11,2.09E-10,FAHD1,NS,0.495195873,9.68033478,protein_coding
1202.232616,0.302303787,0.073536684,3.86E-05,6.16E-05,FAHD2A,NS,0.302303787,4.210326996,protein_coding
667.5427575,0.02649422,0.086901372,0.761608547,0.783605817,FAHD2B,NS,0.02649422,0.105902349,protein_coding
984.0801976,0.469280325,0.074400182,2.52E-10,5.48E-10,FAIM,NS,0.469280325,9.260961793,protein_coding
247.2424895,0.160747961,0.186041702,0.012207525,0.015906128,FAIM2,NS,0.160747961,1.798435516,protein_coding
2775.519427,-0.926890627,0.209121352,4.19E-06,7.13E-06,FAM107A,NS,-0.926890627,5.146691095,protein_coding
5749.446276,-0.290267582,0.095433767,0.001844807,0.002590323,FAM107B,NS,-0.290267582,2.586646032,protein_coding
1306.3387,1.291152518,0.11588037,2.78E-29,1.42E-28,FAM110A,Up,1.291152518,27.84921104,protein_coding
801.6751893,-0.122979614,0.122878885,0.313534025,0.346655342,FAM110B,NS,-0.122979614,0.460102103,protein_coding
661.6902043,-0.466721709,0.184283335,0.008724106,0.011553366,FAM110C,NS,-0.466721709,1.937291451,protein_coding
393.8469136,-2.43307467,0.133403657,3.13E-75,8.05E-74,FAM110D,Down,-2.43307467,73.09402672,protein_coding
2399.003216,0.112756571,0.06877638,0.097337769,0.115397883,FAM111A,NS,0.112756571,0.937802159,protein_coding
1329.592495,3.455215512,0.159684239,5.87E-105,3.23E-103,FAM111B,Up,3.455215512,102.4905593,protein_coding
4294.834463,0.136004964,0.077272602,0.105787103,0.124861799,FAM114A1,NS,0.136004964,0.903570411,protein_coding
1261.413327,-0.627380308,0.050401288,1.10E-35,7.15E-35,FAM114A2,NS,-0.627380308,34.14576032,protein_coding
1108.525621,-0.784477332,0.070912585,1.01E-28,5.02E-28,FAM117A,NS,-0.784477332,27.29963388,protein_coding
1387.750412,0.560201979,0.08442618,4.62E-11,1.05E-10,FAM117B,NS,0.560201979,9.978964648,protein_coding
1255.530448,0.125876916,0.076859389,0.101928936,0.120573839,FAM118A,NS,0.125876916,0.918746912,protein_coding
891.1734503,0.296820353,0.061458723,1.00E-06,1.77E-06,FAM118B,NS,0.296820353,5.7524599,protein_coding
11415.88361,0.108301631,0.051941621,0.024033575,0.030454102,FAM120A,NS,0.108301631,1.516354198,protein_coding
3585.956491,-0.277808053,0.056639608,7.94E-07,1.41E-06,FAM120AOS,NS,-0.277808053,5.849344051,protein_coding
3004.837021,-0.49304636,0.058178682,2.15E-17,6.68E-17,FAM120B,NS,-0.49304636,16.17496065,protein_coding
1197.032595,-0.030546901,0.080676363,0.705225468,0.731543512,FAM120C,NS,-0.030546901,0.135759837,protein_coding
464.1272879,-0.021265156,0.132910083,0.840763268,0.856017813,FAM124A,NS,-0.021265156,0.067517198,protein_coding
200.2841438,-1.352831196,0.140008414,1.47E-22,5.74E-22,FAM124B,Down,-1.352831196,21.24124536,protein_coding
999.1798035,0.09398249,0.074308921,0.219511126,0.248686354,FAM131A,NS,0.09398249,0.604348045,protein_coding
153.3109319,-1.107238954,0.125457672,4.93E-19,1.65E-18,FAM131B,Down,-1.107238954,17.781744,protein_coding
44.03372631,2.493753793,0.191105155,8.24E-40,6.35E-39,FAM131C,Up,2.493753793,38.19716381,protein_coding
56.17693146,3.140736964,0.296708836,6.34E-18,2.02E-17,FAM133A,Up,3.140736964,16.69376193,protein_coding
584.9233422,0.181308006,0.056823039,0.001394188,0.00198119,FAM133B,NS,0.181308006,2.703073956,protein_coding
948.4452102,0.07444207,0.08457487,0.374125316,0.408529894,FAM135A,NS,0.07444207,0.388776159,protein_coding
23.11367345,0.096622814,0.225059806,0.239488492,0.269737902,FAM135B,NS,0.096622814,0.569058025,protein_coding
2748.286435,1.381717116,0.068095475,8.40E-91,3.27E-89,FAM136A,Up,1.381717116,88.48545314,protein_coding
3260.711306,-2.131372958,0.100476883,1.08E-100,5.37E-99,FAM13A,Down,-2.131372958,98.27023189,protein_coding
2238.602965,-1.178169479,0.074197747,2.19E-57,3.15E-56,FAM13B,Down,-1.178169479,55.50125846,protein_coding
320.8223926,-2.401588944,0.121299196,3.52E-88,1.25E-86,FAM13C,Down,-2.401588944,85.90199615,protein_coding
475.2272339,-2.086458326,0.144213367,2.71E-48,2.84E-47,FAM149A,Down,-2.086458326,46.54608013,protein_coding
1266.69459,-0.292186014,0.054625438,7.64E-08,1.44E-07,FAM149B1,NS,-0.292186014,6.840267879,protein_coding
13.7704046,0.071067476,0.181735119,0.690830962,0.717753152,FAM151A,NS,0.071067476,0.144024892,protein_coding
71.42169476,-0.313191657,0.081497354,0.00011913,0.000183869,FAM151B,NS,-0.313191657,3.735490457,protein_coding
12.32505032,-0.38134943,0.223273416,0.000680409,0.00098938,FAM153A,NS,-0.38134943,3.004636715,protein_coding
19.13320488,0.421159355,0.178564524,0.553443761,0.585769838,FAM153CP,NS,0.421159355,0.232272994,protein_coding
20.37299761,-0.288476575,0.091431731,0.001492938,0.002115325,FAM156A,NS,-0.288476575,2.674622879,protein_coding
330.2645699,0.505322819,0.105260752,1.57E-06,2.74E-06,FAM161A,NS,0.505322819,5.561584931,protein_coding
540.1312327,-1.33636372,0.08919819,4.15E-51,4.80E-50,FAM161B,Down,-1.33636372,49.31841001,protein_coding
2753.243204,0.761121577,0.09373006,3.03E-16,8.88E-16,FAM162A,NS,0.761121577,15.05152219,protein_coding
99.06680366,-2.351501111,0.153275381,4.07E-54,5.24E-53,FAM162B,Down,-2.351501111,52.28027716,protein_coding
10.75567914,1.781465882,0.264733921,2.68E-12,6.46E-12,FAM163A,Up,1.781465882,11.18966052,protein_coding
239.0605013,0.143797009,0.174718115,0.410367597,0.44489346,FAM167A,NS,0.143797009,0.351743978,protein_coding
252.7456621,0.642936701,0.11503131,2.03E-08,3.97E-08,FAM167B,NS,0.642936701,7.401207301,protein_coding
5678.692378,-0.10400005,0.055727679,0.067356498,0.081379031,FAM168A,NS,-0.10400005,1.089487487,protein_coding
9550.97618,-0.182744224,0.057789765,0.00179354,0.002520373,FAM168B,NS,-0.182744224,2.598535184,protein_coding
136.0273042,0.097095809,0.161317621,0.552141645,0.58448057,FAM169A,NS,0.097095809,0.233229921,protein_coding
3352.388982,0.885617596,0.098299288,2.06E-19,7.03E-19,FAM171A1,NS,0.885617596,18.15334808,protein_coding
267.2242927,2.156764315,0.15881726,7.36E-43,6.34E-42,FAM171A2,Up,2.156764315,41.19775755,protein_coding
1140.533703,0.025568063,0.126177532,0.863482607,0.877095977,FAM171B,NS,0.025568063,0.056952881,protein_coding
753.676798,-0.640635324,0.075918919,2.15E-17,6.70E-17,FAM174A,NS,-0.640635324,16.17401474,protein_coding
2128.463448,-0.16307595,0.129125701,0.183887742,0.210648993,FAM174B,NS,-0.16307595,0.676440612,protein_coding
1454.497632,1.073154716,0.108453858,2.76E-23,1.11E-22,FAM174C,Up,1.073154716,21.95430094,protein_coding
2744.967521,0.28905345,0.061457297,3.00E-06,5.15E-06,FAM177A1,NS,0.28905345,5.288034432,protein_coding
24.0901552,0.595632606,0.163596462,0.11701982,0.137381966,FAM177B,NS,0.595632606,0.862070273,protein_coding
136.8635518,1.132212964,0.209101056,2.63E-08,5.11E-08,FAM178B,Up,1.132212964,7.291586941,protein_coding
328.3567595,-0.442089668,0.179746444,0.011993264,0.015646484,FAM180A,NS,-0.442089668,1.805583232,protein_coding
113.1058604,-4.074584739,0.243259889,4.83E-64,8.71E-63,FAM180B,Down,-4.074584739,62.06008718,protein_coding
76.81014915,0.571887966,0.202061795,0.003648359,0.005001937,FAM181B,NS,0.571887966,2.300861767,protein_coding
510.6408288,-0.371031419,0.126007997,0.002929196,0.004049468,FAM184A,NS,-0.371031419,2.392602053,protein_coding
64.86275667,-0.867756156,0.165105048,8.69E-08,1.64E-07,FAM184B,NS,-0.867756156,6.785861834,protein_coding
303.0113846,0.121127733,0.062949721,0.053703012,0.065666024,FAM185A,NS,0.121127733,1.182659277,protein_coding
18.53233919,-0.232329232,0.132483342,0.074063293,0.088992761,FAM186A,NS,-0.232329232,1.050645317,protein_coding
28.23399245,0.016615187,0.116358876,0.888982507,0.900412898,FAM186B,NS,0.016615187,0.045558293,protein_coding
2097.263618,-0.084769813,0.047319899,0.072741188,0.087504887,FAM193A,NS,-0.084769813,1.057967691,protein_coding
1991.12806,-0.121979919,0.078545266,0.098628612,0.116848597,FAM193B,NS,-0.121979919,0.932376498,protein_coding
3842.166145,-0.253663943,0.068579445,0.000200912,0.000304622,FAM199X,NS,-0.253663943,3.516239398,protein_coding
550.0606682,0.159552873,0.054446579,0.00336782,0.004635582,FAM200A,NS,0.159552873,2.333895754,protein_coding
559.0905293,-0.165230921,0.073353507,0.02262152,0.028741584,FAM200B,NS,-0.165230921,1.541489304,protein_coding
414.5950063,-0.008187897,0.078439646,0.91308896,0.922100142,FAM200C,NS,-0.008187897,0.035221911,protein_coding
2210.081905,-0.303693052,0.057122289,1.67E-07,3.09E-07,FAM204A,NS,-0.303693052,6.509516514,protein_coding
8.152493818,0.049450458,0.120941188,0.679991979,0.707654049,FAM209B,NS,0.049450458,0.150179004,protein_coding
1417.951265,0.55098074,0.141961563,9.38E-05,0.000145884,FAM20A,NS,0.55098074,3.835992207,protein_coding
6354.024953,0.273447471,0.069549846,0.000174109,0.000265177,FAM20B,NS,0.273447471,3.576463822,protein_coding
4506.408047,0.617807202,0.125553797,7.99E-07,1.42E-06,FAM20C,NS,0.617807202,5.846871093,protein_coding
1006.606963,0.621760893,0.069685358,3.10E-19,1.05E-18,FAM210A,NS,0.621760893,17.9786503,protein_coding
10176.58012,-0.20288919,0.074252912,0.004564498,0.006199342,FAM210B,NS,-0.20288919,2.207654407,protein_coding
325.0946971,0.839926751,0.102782229,2.46E-16,7.27E-16,FAM216A,NS,0.839926751,15.13820314,protein_coding
6.091825667,-0.23902626,0.222979844,0.267109039,0.298559712,FAM217A,NS,-0.23902626,0.524968797,protein_coding
1291.720875,0.139817758,0.08005909,0.079668175,0.095337832,FAM217B,NS,0.139817758,1.020734727,protein_coding
1645.73059,0.547965604,0.067123177,3.00E-16,8.80E-16,FAM219A,NS,0.547965604,15.05532848,protein_coding
684.3992931,-0.81888972,0.074605515,2.95E-28,1.44E-27,FAM219B,NS,-0.81888972,26.84143227,protein_coding
1331.887755,0.581181941,0.067684872,9.00E-18,2.85E-17,FAM220A,NS,0.581181941,16.54544921,protein_coding
297.9245023,-0.424127319,0.10978495,8.82E-05,0.000137462,FAM221A,NS,-0.424127319,3.861815927,protein_coding
10.35518998,-0.372073931,0.196553427,0.053176283,0.065052444,FAM221B,NS,-0.372073931,1.186736383,protein_coding
450.7655526,1.232373792,0.148443001,4.09E-17,1.26E-16,FAM222A,Up,1.232373792,15.90079956,protein_coding
2590.661743,0.66371709,0.078851479,3.01E-17,9.32E-17,FAM222B,NS,0.66371709,16.03073409,protein_coding
288.004582,0.351249572,0.136285009,0.00909679,0.012031647,FAM227A,NS,0.351249572,1.919674907,protein_coding
216.4875379,-0.489080693,0.088869303,3.19E-08,6.18E-08,FAM227B,NS,-0.489080693,7.20908228,protein_coding
24.18173551,-2.114079137,0.223556545,4.25E-22,1.63E-21,FAM228A,Down,-2.114079137,20.78843605,protein_coding
217.0211951,-0.698268339,0.06764916,3.96E-25,1.72E-24,FAM228B,NS,-0.698268339,23.76540453,protein_coding
100.7454445,0.15888876,0.112325296,0.153501741,0.177555762,FAM229A,NS,0.15888876,0.750665229,protein_coding
558.9757214,-0.125430579,0.086126843,0.141142352,0.163904461,FAM229B,NS,-0.125430579,0.785409227,protein_coding
6077.398249,0.215852753,0.085650354,0.01560578,0.020126693,FAM234A,NS,0.215852753,1.696227577,protein_coding
1657.513303,-0.688019597,0.133282328,1.69E-07,3.13E-07,FAM234B,NS,-0.688019597,6.504296033,protein_coding
12.22907986,-2.087372642,0.182565742,4.75E-31,2.60E-30,FAM237B,Down,-2.087372642,29.58524743,protein_coding
11.94562667,1.26212926,0.25927066,4.21E-07,7.64E-07,FAM240A,Up,1.26212926,6.117171111,protein_coding
28.35195045,-2.061857843,0.220428639,1.17E-21,4.39E-21,FAM240C,Down,-2.061857843,20.35790827,protein_coding
2182.193472,-1.995694364,0.122511625,2.25E-60,3.59E-59,FAM241A,Down,-1.995694364,58.44462666,protein_coding
660.2036332,1.335911628,0.119809765,2.84E-29,1.45E-28,FAM241B,Up,1.335911628,27.84005864,protein_coding
74.49016628,1.382935738,0.118001149,1.51E-17,4.74E-17,FAM24B,Up,1.382935738,16.32429642,protein_coding
4591.084122,0.478625291,0.054008641,3.64E-19,1.23E-18,FAM32A,NS,0.478625291,17.91049291,protein_coding
2317.282103,0.750310362,0.087146405,9.00E-18,2.85E-17,FAM3A,NS,0.750310362,16.54544921,protein_coding
596.7422228,-1.359531975,0.241630723,5.99E-09,1.21E-08,FAM3B,Down,-1.359531975,7.918358889,protein_coding
2059.11535,0.519797945,0.073331169,1.96E-12,4.76E-12,FAM3C,NS,0.519797945,11.32262625,protein_coding
282.4393647,0.592671601,0.274640398,0.982746121,0.984632843,FAM3D,NS,0.592671601,0.006725682,protein_coding
860.3779994,-0.85870989,0.118923338,2.14E-13,5.47E-13,FAM43A,NS,-0.85870989,12.26177195,protein_coding
58.661396,-0.213183975,0.179782768,0.224094069,0.253493209,FAM43B,NS,-0.213183975,0.59603367,protein_coding
176.8964869,-2.355851957,0.140547042,5.97E-64,1.07E-62,FAM47E,Down,-2.355851957,61.97001513,protein_coding
3589.820968,1.051243276,0.107176573,3.48E-23,1.40E-22,FAM50A,Up,1.051243276,21.85490947,protein_coding
670.0507926,0.165195666,0.131796786,0.206768561,0.235145141,FAM50B,NS,0.165195666,0.628663991,protein_coding
103.7592327,0.910705256,0.102485328,3.44E-19,1.16E-18,FAM53A,NS,0.910705256,17.93530552,protein_coding
2370.879855,0.551918499,0.085263838,1.19E-10,2.64E-10,FAM53B,NS,0.551918499,9.57807063,protein_coding
2915.082276,-0.2460266,0.058250758,2.05E-05,3.35E-05,FAM53C,NS,-0.2460266,4.47505732,protein_coding
92.68445273,3.642796779,0.132442534,1.06E-167,1.72E-165,FAM72A,Up,3.642796779,164.7653977,protein_coding
94.67009921,3.539247285,0.125793672,2.15E-175,4.07E-173,FAM72B,Up,3.539247285,172.3899305,protein_coding
24.24672687,3.939511271,0.205358977,4.52E-83,1.44E-81,FAM72C,Up,3.939511271,80.84299522,protein_coding
48.43530791,4.055985901,0.176036491,2.46E-118,1.89E-116,FAM72D,Up,4.055985901,115.7231001,protein_coding
1075.545667,-0.308068327,0.06249111,9.16E-07,1.63E-06,FAM76A,NS,-0.308068327,5.789073439,protein_coding
1089.446839,0.073785756,0.070984241,0.297818954,0.330637168,FAM76B,NS,0.073785756,0.480648327,protein_coding
597.8245097,0.587355154,0.126035428,2.43E-06,4.20E-06,FAM78A,NS,0.587355154,5.376454394,protein_coding
299.8470201,1.412159891,0.16130345,6.15E-19,2.05E-18,FAM78B,Up,1.412159891,17.68792429,protein_coding
236.0796586,1.477285204,0.153523495,2.05E-22,7.96E-22,FAM81A,Up,1.477285204,21.09885008,protein_coding
12.96715455,-1.859362278,0.218271426,3.47E-18,1.12E-17,FAM81B,Down,-1.859362278,16.95089723,protein_coding
313.2408062,3.671784869,0.285749222,1.22E-26,5.60E-26,FAM83A,Up,3.671784869,25.25178875,protein_coding
567.4129136,1.344569961,0.193067361,1.09E-12,2.69E-12,FAM83B,Up,1.344569961,11.57027044,protein_coding
1201.425935,4.468028781,0.132075723,5.26E-252,4.99E-249,FAM83D,Up,4.468028781,248.3021763,protein_coding
224.085835,0.241926102,0.231281098,0.284609425,0.316975398,FAM83E,NS,0.241926102,0.498974444,protein_coding
2354.946241,0.272630431,0.131662738,0.03617414,0.045058486,FAM83F,NS,0.272630431,1.346223406,protein_coding
975.7085002,1.189562528,0.087568716,4.72E-42,3.95E-41,FAM83G,Up,1.189562528,40.40341798,protein_coding
5900.967651,1.767513124,0.134130509,7.11E-40,5.51E-39,FAM83H,Up,1.767513124,38.2590218,protein_coding
114.6722633,-0.141719281,0.13346871,0.282663802,0.315051891,FAM86B1,NS,-0.141719281,0.501617909,protein_coding
13.35786859,-0.635886113,0.164061764,8.18E-05,0.000127847,FAM86B2,NS,-0.635886113,3.893310812,protein_coding
1082.077692,-1.628807931,0.161697161,1.83E-24,7.70E-24,FAM89A,Down,-1.628807931,23.11371681,protein_coding
241.4973014,1.262835462,0.105378828,1.65E-33,9.90E-33,FAM89B,Up,1.262835462,32.00451262,protein_coding
3825.423837,-0.375781193,0.073713461,1.57E-07,2.92E-07,FAM8A1,NS,-0.375781193,6.533998555,protein_coding
130.9385212,1.688394784,0.145410618,8.16E-32,4.60E-31,FAM90A1,Up,1.688394784,30.3372604,protein_coding
4391.646473,0.91541973,0.073636543,5.90E-35,3.72E-34,FAM91A1,NS,0.91541973,33.42897698,protein_coding
3473.800612,0.709718365,0.064967385,7.52E-28,3.62E-27,FAM98A,NS,0.709718365,26.44152454,protein_coding
2394.824566,-0.04913093,0.048048365,0.300292209,0.333099519,FAM98B,NS,-0.04913093,0.477425994,protein_coding
743.4024796,0.35222778,0.081544398,1.46E-05,2.40E-05,FAM98C,NS,0.35222778,4.619325547,protein_coding
