baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
169.2583676,0.70911423,0.146130342,9.03E-07,1.60E-06,ACOT11,NS,0.70911423,5.795110028,protein_coding
1182.449384,0.376390273,0.062852951,2.16E-09,4.47E-09,ACOT13,NS,0.376390273,8.349738332,protein_coding
1283.918887,-1.079190126,0.10737293,3.35E-24,1.40E-23,ACOT2,Down,-1.079190126,22.85462027,protein_coding
369.9235949,-0.484959732,0.125114124,8.67E-05,0.000135193,ACOT4,NS,-0.484959732,3.869044364,protein_coding
1653.451754,1.870934602,0.098394599,2.97E-81,9.07E-80,ACOT7,Up,1.870934602,79.04258104,protein_coding
762.0512449,0.651088443,0.062307625,8.03E-26,3.57E-25,ACOT8,NS,0.651088443,24.44676823,protein_coding
2471.62408,0.262952558,0.077980145,0.000910413,0.001312039,ACOT9,NS,0.262952558,2.882053347,protein_coding
5598.914713,-0.505451036,0.088827184,5.71E-09,1.15E-08,ACOX1,NS,-0.505451036,7.93814299,protein_coding
640.8154012,-1.813861066,0.175435973,9.65E-26,4.28E-25,ACOX2,Down,-1.813861066,24.36855535,protein_coding
1564.45778,-0.234488752,0.078775185,0.002829608,0.003916721,ACOX3,NS,-0.234488752,2.407077413,protein_coding
180.9844555,-0.3824547,0.108793326,0.000393108,0.000582904,ACOXL,NS,-0.3824547,3.234402926,protein_coding
4820.667366,0.931844934,0.063692959,1.53E-48,1.62E-47,ACP1,NS,0.931844934,46.79017171,protein_coding
2827.201663,0.59055832,0.067680063,2.13E-18,6.94E-18,ACP2,NS,0.59055832,17.15885423,protein_coding
124.6062245,0.329521137,0.165406337,0.044147932,0.054457725,ACP3,NS,0.329521137,1.263940504,protein_coding
8.069559438,0.725618221,0.177268189,2.79E-05,4.50E-05,ACP4,NS,0.725618221,4.346516972,protein_coding
2955.538066,1.746024312,0.146011432,4.99E-05,7.91E-05,ACP5,Up,1.746024312,4.101669991,protein_coding
1056.047277,0.17123631,0.098201357,0.087041105,0.103685407,ACP6,NS,0.17123631,0.984282365,protein_coding
38.1120435,4.302768298,0.278608984,6.11E-55,8.10E-54,ACP7,Up,4.302768298,53.09138053,protein_coding
29.13757246,0.238445186,0.152796915,0.114623967,0.134675258,ACR,NS,0.238445186,0.870712184,protein_coding
103.5973154,0.317651519,0.101071762,0.001517501,0.002149106,ACRBP,NS,0.317651519,2.66774213,protein_coding
18.67620126,2.691441311,0.136126943,6.98E-88,2.47E-86,ACRV1,Up,2.691441311,85.60710395,protein_coding
17.76950736,1.460452146,0.171105412,0.768641002,0.790023679,ACSBG1,NS,1.460452146,0.102359892,protein_coding
18.52684657,-0.917657988,0.130646065,1.19E-12,2.91E-12,ACSBG2,NS,-0.917657988,11.53565763,protein_coding
2299.116455,-0.9494505,0.106492258,1.41E-19,4.86E-19,ACSF2,NS,-0.9494505,18.31362219,protein_coding
1141.177325,0.036312327,0.073723138,0.649921572,0.67896671,ACSF3,NS,0.036312327,0.168151519,protein_coding
26140.52167,-2.593116715,0.173538414,1.90E-51,2.21E-50,ACSL1,Down,-2.593116715,49.6554087,protein_coding
10844.78444,0.095444551,0.118030174,0.439787044,0.474471784,ACSL3,NS,0.095444551,0.323789609,protein_coding
4255.684505,-0.524736783,0.099296819,6.03E-08,1.15E-07,ACSL4,NS,-0.524736783,6.940065284,protein_coding
1736.463829,-0.463218382,0.111150879,2.08E-05,3.39E-05,ACSL5,NS,-0.463218382,4.470212944,protein_coding
186.150845,2.699052902,0.224379207,2.87E-34,1.77E-33,ACSL6,Up,2.699052902,32.75320071,protein_coding
296.7797493,-1.117249487,0.268310118,3.49E-19,1.18E-18,ACSM1,Down,-1.117249487,17.9291138,protein_coding
6.972028626,-3.20371172,0.249373378,8.71E-55,1.15E-53,ACSM2A,Down,-3.20371172,52.94004169,protein_coding
7.389433355,-2.958026884,0.276480946,9.26E-28,4.43E-27,ACSM2B,Down,-2.958026884,26.35325039,protein_coding
503.4977503,-0.532127811,0.173564216,1.78E-09,3.70E-09,ACSM3,NS,-0.532127811,8.432178888,protein_coding
27.63703788,0.561494282,0.164433351,0.000518684,0.000761858,ACSM4,NS,0.561494282,3.118125844,protein_coding
570.8043864,-4.564560677,0.203023658,3.87E-113,2.70E-111,ACSM5,Down,-4.564560677,110.5684047,protein_coding
6.710148551,-1.089213569,0.263846104,1.50E-05,2.47E-05,ACSM6,Down,-1.089213569,4.606937322,protein_coding
2616.976068,0.322509438,0.118916804,0.006676287,0.008936678,ACSS1,NS,0.322509438,2.048823869,protein_coding
5522.585531,-1.510820568,0.121208146,2.01E-36,1.35E-35,ACSS2,Down,-1.510820568,34.87023929,protein_coding
2012.486313,-1.914121296,0.169945221,3.86E-30,2.04E-29,ACSS3,Down,-1.914121296,28.6910976,protein_coding
219.1207516,-6.176632847,0.286739266,3.69E-14,9.80E-14,ACTA1,Down,-6.176632847,13.00896841,protein_coding
15902.44954,-1.596955647,0.142919454,7.96E-30,4.15E-29,ACTA2,Down,-1.596955647,28.38205683,protein_coding
293393.7906,0.881656202,0.068779489,7.84E-38,5.59E-37,ACTB,NS,0.881656202,36.2522305,protein_coding
23.0851651,0.742259654,0.248472565,0.001879902,0.002637472,ACTBL2,NS,0.742259654,2.578812064,protein_coding
20.76990867,-2.720613812,0.268033117,0.278501634,0.310645024,ACTC1,NS,-2.720613812,0.507735599,protein_coding
193056.4366,0.877427871,0.063523332,1.30E-43,1.16E-42,ACTG1,NS,0.877427871,41.93698546,protein_coding
11661.49437,-0.471896763,0.249709944,0.050928769,0.062427367,ACTG2,NS,-0.471896763,1.204624983,protein_coding
3319.134336,1.465991743,0.070524183,3.10E-96,1.38E-94,ACTL6A,Up,1.465991743,93.85887154,protein_coding
598.3199045,9.780673881,0.407188715,8.05E-128,7.34E-126,ACTL8,Up,8,125.1345329,protein_coding
834.970821,0.160715702,0.063980752,0.010431769,0.013713046,ACTMAP,NS,0.160715702,1.862866063,protein_coding
25859.14965,0.273954933,0.096333745,0.005543096,0.007473495,ACTN1,NS,0.273954933,2.126476261,protein_coding
79.49005915,-5.698441685,0.22294991,1.75E-36,1.18E-35,ACTN2,Down,-5.698441685,34.92899506,protein_coding
8.692976421,-6.596728673,0.211342496,0.000728505,0.001056666,ACTN3,Down,-6.596728673,2.976062191,protein_coding
34852.74844,0.647288217,0.084541557,2.58E-14,6.90E-14,ACTN4,NS,0.647288217,13.16119197,protein_coding
3149.366699,-0.327897774,0.048038087,6.99E-12,1.65E-11,ACTR10,NS,-0.327897774,10.78128064,protein_coding
6768.082073,0.190193586,0.062116264,0.004020688,0.00549274,ACTR1A,NS,0.190193586,2.260210956,protein_coding
3961.815602,0.034766984,0.067313212,0.70660143,0.732788755,ACTR1B,NS,0.034766984,0.135021204,protein_coding
18594.69053,0.777790937,0.057105198,3.18E-40,2.50E-39,ACTR2,NS,0.777790937,38.60191479,protein_coding
13568.9833,0.955287029,0.054405464,1.12E-68,2.33E-67,ACTR3,NS,0.955287029,66.6321322,protein_coding
1136.422729,1.625196023,0.120377824,3.58E-42,3.00E-41,ACTR3B,Up,1.625196023,40.52290419,protein_coding
165.0672194,0.480356875,0.091982694,1.48E-07,2.76E-07,ACTR3C,NS,0.480356875,6.559771762,protein_coding
666.3094324,0.484418866,0.053825036,1.92E-19,6.54E-19,ACTR5,NS,0.484418866,18.18419913,protein_coding
1792.864923,0.317243253,0.067149461,2.39E-06,4.13E-06,ACTR6,NS,0.317243253,5.3837373,protein_coding
1348.799346,-0.14072195,0.048416632,0.003599527,0.004939205,ACTR8,NS,-0.14072195,2.306342934,protein_coding
149.9763422,0.611404073,0.105345618,5.66E-09,1.14E-08,ACTRT3,NS,0.611404073,7.942063004,protein_coding
2972.884962,-0.367934917,0.076886939,9.38E-07,1.66E-06,ACVR1,NS,-0.367934917,5.779120295,protein_coding
2696.087797,-0.310295796,0.063957638,9.83E-07,1.74E-06,ACVR1B,NS,-0.310295796,5.759523552,protein_coding
2391.182827,-5.594971046,0.21938295,1.37E-144,1.52E-142,ACVR1C,Down,-5.594971046,141.8187642,protein_coding
1165.948283,-0.697909934,0.073482826,1.73E-21,6.46E-21,ACVR2A,NS,-0.697909934,20.18987896,protein_coding
1151.171331,0.153469803,0.095013326,0.110557259,0.130168234,ACVR2B,NS,0.153469803,0.885494988,protein_coding
2151.676741,-0.993097877,0.110483548,7.04E-20,2.45E-19,ACVRL1,NS,-0.993097877,18.61037839,protein_coding
11.15837992,0.114568701,0.108203203,0.285453388,0.317844436,ACY1,NS,0.114568701,0.497785387,protein_coding
87.78925448,0.727821063,0.206027167,0.000286653,0.000429044,ACY3,NS,0.727821063,3.36749849,protein_coding
