"gene_symbol","Closeness_Latora","Harmonic"
"A2ML1",0.20533175770711,126.119387509432
"ABCG2",0.292838926977584,182.131853814908
"ACACB",0.274526193822119,170.220812632674
"ACER2",0.258085071069064,160.852640398381
"ACKR1",0.288336156210587,180.42093864594
"ACKR3",0.311915830051047,196.01818781075
"ACOX2",0.271219031345906,166.473618146551
"ACSL1",0.337347183180102,214.630900032491
"ACSS3",0.216694924182929,133.231216016109
"ACTA2",0.305889264921727,193.285580649018
"ACVR1C",0.288198614559695,179.47149165127
"ADAMTS4",0.348449639414701,222.251975716697
"ADAMTS5",0.294647025563677,184.134682058641
"ADCY1",0.298284555237157,191.648096628153
"ADCY5",0.304221120498839,196.376184159785
"ADCYAP1R1",0.278124500994295,172.315497167573
"ADD2",0.288951683293013,181.483643203076
"ADGRV1",0.119519391918305,71.8169813521574
"ADH1B",0.264619666259852,166.363498023171
"ADIPOQ",0.38320530091857,248.399124134536
"ADRA2A",0.248520659351018,154.070507297637
"ADRB2",0.320787056574116,201.8812313203
"AGT",0.394892272707156,257.594561215363
"AGTR1",0.316013952560857,200.247427418785
"AHNAK",0.244879071958982,149.22512040112
"AK5",0.279894817457908,186.076443158205
"AKAP12",0.323999177712432,203.221963292113
"ALDH1A1",0.302506054032797,192.023330242907
"ALDH1A2",0.246927771498149,153.378011047531
"ALDH2",0.247164427413773,153.332101035887
"ALOX15B",0.285541975901242,175.407324472796
"ANGPT1",0.380199972074968,248.517437327249
"ANGPTL1",0.29085365547883,179.994169493748
"ANK2",0.311553923538221,198.960804990168
"ANKRD22",0.2024269596413,123.170856004865
"ANKRD29",0.235547342985359,143.933496778353
"ANLN",0.352772732857374,257.486555999815
"ANO1",0.319522963233925,200.319057128276
"AOC3",0.304574338981787,191.280244939975
"AOX1",0.258274583287319,162.569695653137
"APOD",0.237002458287567,143.609466480067
"AQP1",0.229799895797633,139.532677617023
"AQP5",0.229694510261602,139.460438079236
"AQP7",0.273761171697815,169.643530141802
"AR",0.391742341606077,251.546632272183
"AREG",0.345562883209874,222.001765205206
"ARHGAP11A",0.31516121039293,222.037881674927
"ASF1B",0.337816980079282,241.467885832825
"ASPM",0.340841643796976,258.017103352334
"ATAD2",0.356813068709278,238.916748657318
"ATF3",0.352865235291147,226.765832526427
"ATP1A2",0.217184458130394,132.027258975561
"AURKA",0.412852232356084,294.421988052998
"AURKB",0.358023144344438,275.027781414177
"BATF2",0.236335239091805,146.452774089839
"BCL11A",0.295531311797253,183.940908478983
"BCL2",0.454944065411544,300.701867575259
"BGN",0.336310453978524,216.031717326918
"BHMT2",0.217808716629733,132.602879587087
"BIRC5",0.344376538932658,262.49806742025
"BLM",0.29776588311457,204.037978351941
"BMP4",0.364149826306812,236.284589554374
"BMP7",0.35428782954113,224.920992564936
"BRIP1",0.304456188754438,205.370992311073
"BUB1",0.342438457019546,261.599504166057
"BUB1B",0.342265276833598,258.780871105642
"C7",0.342720527364166,213.613467325854
"CACNA2D1",0.248785775287251,150.734029305528
"CALML5",0.374446722687339,246.574154163354
"CAV1",0.424139691138552,271.589414748265
"CAV2",0.317843748013476,195.263768879216
"CAVIN2",0.302839169427028,184.302102176554
"CBLC",0.288055624534393,178.466517398719
"CBX2",0.316252947831895,211.789844434882
"CCDC170",0.340493880503085,210.118247763396
"CCDC69",0.24785551561853,158.982884383002
"CCL19",0.352294255599201,227.591890936699
"CCL21",0.33522736796232,216.713194818749
"CCL28",0.308931968919314,194.516660803372
"CCL5",0.378359160695007,252.228824519612
"CCN4",0.292739603580105,182.879186733456
"CCNA2",0.352728537684787,270.429065796505
"CCNB1",0.395390833613402,294.338533603295
"CCNB2",0.353439145701022,269.492732301529
"CCNE1",0.333301727135071,230.046858546007
"CCR7",0.386823201122054,253.327868715099
"CD2",0.334424826776589,217.411047949365
"CD209",0.352700867704945,222.077873939749
"CD24",0.327410958331875,205.871948322474
"CD300LG",0.301047697893445,187.856312551239
"CD36",0.404025768484876,264.786928282559
"CD38",0.405317202640432,262.430916812693
"CD3D",0.298899585714867,187.240907662258
"CD3E",0.327012224619059,206.710983511249
"CD3G",0.25677475850998,160.083844309853
"CD7",0.329662522202487,209.382870904328
"CD79A",0.374523854263728,241.425838653026
"CDC20",0.353873665881027,269.161282384163
"CDC25A",0.3460967447811,242.06955040168
"CDC45",0.373792023407114,277.371629355552
"CDC6",0.353066289413307,257.125197832899
"CDC7",0.332029639942479,230.653543295039
"CDCA2",0.328659567620006,242.093021188606
"CDCA3",0.346224215996156,258.505655146811
"CDCA5",0.341895658160932,256.43745465639
"CDCA7",0.269195870164047,179.697736201039
"CDCA8",0.342239022093299,258.477391010353
"CDH23",0.135162249463371,82.9376483482015
"CDK1",0.399285141911447,298.64248862039
"CDKN1C",0.330650503557914,221.842350860364
"CDKN2A",0.397218103557499,269.201975635086
"CDKN3",0.346641788145688,255.682617683558
"CDT1",0.341401192902858,246.873206231722
"CEBPA",0.396681553623823,256.151751348828
"CENPA",0.343847355487774,260.280811561338
"CENPE",0.347366126292741,259.634059888189
"CENPF",0.342746045862966,259.577642691551
"CENPI",0.325997820311126,232.918708354794
"CENPM",0.332416132269525,243.450512360063
"CENPU",0.328930578634257,235.029290411976
"CENPW",0.316356964107666,221.433985944444
"CEP55",0.343127046930314,258.907337826263
"CES1",0.278106097476187,172.803530285216
"CFD",0.309813006484173,191.420966844623
"CHEK1",0.360261873113284,266.401447143608
"CHI3L1",0.278432119929355,170.508889276775
"CHMP4C",0.271998461801802,182.635990389848
"CIDEC",0.338322225086943,214.883529916108
"CILP",0.25611937635815,159.459926274366
"CIT",0.278948479658644,189.174443555198
"CKAP2L",0.321935163368219,234.994065159802
"CKS2",0.33178500331785,234.47648783306
"CLDN1",0.29013142953758,180.43116599451
"CLDN11",0.301392015398014,187.910887558322
"CLDN3",0.288115580048691,180.766394354301
"CLDN4",0.300116165653775,188.023291208978
"CLDN5",0.379195999874473,242.476632505512
"CLDN7",0.290498495418138,180.140208308407
"CLDN8",0.25193917145894,156.180408651192
"CLEC3B",0.2437419260487,146.995243818025
"CLEC7A",0.309048678896824,192.34248662467
"CLSPN",0.356263167916659,243.83990958579
"CNN1",0.29357991346479,185.476312630739
"CNTFR",0.355840009423625,226.39742129969
"COL10A1",0.301984244753024,191.626517047533
"COL11A1",0.301388256666396,191.835701247674
"COL14A1",0.362646191746048,234.268454398055
"COL17A1",0.242940179331738,148.9439664123
"COL1A1",0.385019808605326,254.792848813262
"COL2A1",0.341891224359632,222.712559084164
"COL4A6",0.295857535414912,183.376460283083
"COL6A6",0.292744922768337,181.13628413196
"COL9A2",0.317355574487457,202.421464695545
"COL9A3",0.317339078994451,202.379803129616
"COMP",0.348354834234151,224.76866483916
"CRABP2",0.182489330666891,110.201414996528
"CRLF1",0.278084896442144,171.154623048315
"CRYAB",0.274768483865405,169.126601176144
"CTHRC1",0.29490710680366,183.524784168824
"CTSV",0.320586518563065,198.697049732444
"CX3CL1",0.366615487987338,238.088826954387
"CX3CR1",0.326481169072776,210.120542894447
"CXCL10",0.362492297038688,241.379276846891
"CXCL11",0.362293492709156,235.049646729208
"CXCL12",0.427118803831698,281.814795167211
"CXCL13",0.394827756391275,255.425055328348
"CXCL14",0.319218552982299,202.87930631272
"CXCL2",0.342433806954713,220.911430282862
"CXCL8",0.398289825892409,270.382513796181
"CXCL9",0.358230784624241,233.794383666481
"DCLK1",0.290505625040383,180.787675009779
"DCN",0.375899404134634,247.810249975154
"DDR2",0.290283461800448,181.217558467143
"DEPDC1",0.341572493755996,250.226990035401
"DGAT2",0.291254140328253,185.556256259314
"DIAPH3",0.305442886919777,204.87502581369
"DLGAP5",0.340469095972368,259.687488142877
"DMD",0.329880770851735,210.699244160444
"DPP4",0.357854599974086,225.802265380187
"DPT",0.285826926867731,178.557422272378
"DSG3",0.239910620884551,149.20911822236
"DST",0.251869479498693,155.704499821455
"DTL",0.325816887538684,236.813903605336
"DUSP1",0.355825164691837,227.017745269025
"E2F1",0.406437692751323,275.025411490293
"E2F2",0.320805686889225,209.522156804621
"EBF1",0.339106524467998,215.176978929637
"EBF2",0.322062264630789,199.999087318774
"EBF3",0.268263916190652,163.460243158242
"EDNRB",0.329282402807757,206.593457057401
"EFEMP1",0.236900137197856,144.784174638175
"EFNA3",0.33966575718232,218.143747208397
"EGF",0.427651976821263,287.955281969741
"EGR1",0.380761562514155,245.920267000613
"EGR2",0.315266737402376,199.639014311173
"EGR3",0.309506822224084,195.188922408812
"EMCN",0.335239768684559,212.633137960353
"EPCAM",0.317361304902138,202.08210098546
"EPHB3",0.261622111218266,161.101267189346
"ERBB4",0.387743818995838,253.652827510888
"ERCC6L",0.328356282418106,234.169400957027
"ESPL1",0.35340985672277,261.451995025227
"ESPN",0.170783380421452,103.937342345859
"ESR1",0.464411282631899,302.989525923484
"ETV7",0.196240638391097,118.915125781749
"EVPL",0.240105580219274,149.747143011585
"EXO1",0.34342509691397,260.474084270838
"EZH2",0.393637461255554,262.740997513783
"F13A1",0.352031891661579,221.00736075233
"F3",0.374725416720506,239.172674076082
"FABP4",0.331235697613789,209.924391502898
"FADS2",0.255217548758652,157.239768040468
"FAM83D",0.330306661260268,225.182373817074
"FANCA",0.297312703249115,198.644905539372
"FBN1",0.356203217620513,229.352074714764
"FBN2",0.332748537340697,208.747293266434
"FERMT1",0.27068373778773,164.090033151334
"FGF1",0.379618169572818,248.213484114304
"FGF10",0.395077336388598,259.536583716896
"FGF2",0.392800907505545,262.316552409851
"FGF7",0.39662323186389,262.297202572705
"FGFR3",0.394572317622553,261.992743207771
"FGFR4",0.364059540054709,236.252769416506
"FLNC",0.342211357994972,217.561446297762
"FLRT2",0.33720067626177,209.780717799035
"FMOD",0.337021393304547,214.935919995562
"FN1",0.463394621266777,309.771908060779
"FOS",0.40630273616872,263.055746887283
"FOSB",0.30148382019505,190.231330966668
"FOSL1",0.303213593588183,190.484662445308
"FOXM1",0.385663683979198,277.249903552976
"FZD4",0.202068766091467,123.597647630435
"G0S2",0.341435559924884,212.688123757915
"GATA3",0.349646555559441,220.153418553003
"GBP5",0.291356117046794,184.543834111795
"GFRA1",0.283790521494441,174.56511640335
"GHR",0.376845568685952,240.582776538207
"GINS1",0.325112107623318,223.61484238023
"GINS2",0.305145596538597,214.009805164727
"GINS4",0.292480822335046,197.8547377277
"GJB2",0.150741792564219,92.5877117325175
"GNAL",0.276904758608277,171.913945728805
"GNG11",0.25725697532329,160.048706240508
"GPAM",0.331549823935611,207.821451666295
"GPC3",0.325725764739512,209.686402909955
"GPD1",0.253811771439874,155.650793515704
"GPER1",0.342586921094553,212.800002821803
"GPIHBP1",0.277241220415852,171.024292389237
"GPLD1",0.234819810208913,143.942936553991
"GPRASP1",0.257863617710963,157.346974991653
"GPX3",0.384271120501461,245.123227221225
"GREB1",0.3238323888222,199.520488944589
"GSTM2",0.293496422885839,180.397184653865
"GSTM3",0.298723472196828,185.174596036984
"GSTM5",0.301716873047944,187.14016925299
"GTSE1",0.326289786960897,232.210993765277
"GYG2",0.22583268990485,138.013378827346
"H2BC5",0.28757972900073,187.631632374164
"H4C8",0.31878448574841,215.875776489272
"HBB",0.249536958359596,153.70224010306
"HELLS",0.308531644707725,213.875491689246
"HGF",0.39245644579263,262.119151314152
"HJURP",0.351196307836885,263.297874549019
"HLA-DQA2",0.243390479739421,149.7866455744
"HLA-DQB2",0.198059021588433,119.330515488726
"HMGA1",0.326003134126683,201.928581915515
"HMMR",0.345941509641032,255.152019460873
"HPGD",0.223236880888114,134.78458459856
"HPN",0.298282254211566,187.031830830096
"HSD11B1",0.264707224681667,162.126865651432
"HSPB6",0.272514130797386,170.008364844052
"HSPB7",0.263083171476704,160.876221321126
"HSPB8",0.282043002804869,175.28394574458
"IDO1",0.355374736532523,227.346641904015
"IFI27",0.268392647337151,167.154423595185
"IFI44L",0.284803755481245,181.282319994205
"IFI6",0.26874496103198,167.321569896966
"IGF1",0.432566919221111,284.29193220155
"IGF2BP2",0.307669293702699,194.922467334612
"IGFBP6",0.302200750916762,185.369643830098
"IKZF3",0.261204078746725,160.078320098455
"IL12RB2",0.329810239698122,204.926900576202
"IL20RA",0.350097151959669,219.741834341464
"IL32",0.322495626848095,207.591537127906
"IL33",0.350193753750998,221.530856738213
"IL4I1",0.27086615055768,168.300260956325
"IL6",0.474913512517656,324.04899062162
"INHBA",0.22479818549106,136.499864918357
"INHBB",0.22434507676663,136.198141188508
"INMT",0.272111907429406,167.844115444606
"IQGAP2",0.289288206368231,181.96959319684
