"gene_symbol","Closeness_Latora","Harmonic","regulation","log2FoldChange","padj"
"TK1",0.33741253452661,246.803768242822,"Up",3.632719521,5.69e-167
"ACSL1",0.337347183180102,214.630900032491,"Down",-2.593116715,2.21e-50
"FLRT2",0.33720067626177,209.780717799035,"Down",-1.100620143,1.93e-09
"FMOD",0.337021393304547,214.935919995562,"Down",-1.789321429,1.33e-29
"ITPR1",0.336624515086582,208.829643653325,"Down",-2.34326686,5.33e-68
"BGN",0.336310453978524,216.031717326918,"Up",2.403185466,7.65e-62
"ORC1",0.336001065934416,230.352199790475,"Up",3.428831535,7.12e-168
"NR3C2",0.335917387489394,211.303598265466,"Down",-2.242842755,4.35e-66
"SCD",0.335371001279036,212.449174441622,"Down",-2.100715847,7.84e-22
"EMCN",0.335239768684559,212.633137960353,"Down",-2.319499468,2.29e-80
"CCL21",0.33522736796232,216.713194818749,"Down",-1.603583272,8.12e-10
"CD2",0.334424826776589,217.411047949365,"Up",1.459965313,5.22e-21
"KIF14",0.333726900919936,249.305961039626,"Up",4.490961836,8.48e-193
"CCNE1",0.333301727135071,230.046858546007,"Up",4.116808158,1.27e-239
"FBN2",0.332748537340697,208.747293266434,"Up",5.020325238,6.73e-78
"CENPM",0.332416132269525,243.450512360063,"Up",3.422926952,5.56e-137
"CDC7",0.332029639942479,230.653543295039,"Up",2.760915339,6.95e-141
"CKS2",0.33178500331785,234.47648783306,"Up",3.396709291,1.26e-201
"GPAM",0.331549823935611,207.821451666295,"Down",-4.769437411,3.94e-155
"NR4A1",0.331462854158058,210.694699354101,"Down",-1.996753366,1.39e-28
"FABP4",0.331235697613789,209.924391502898,"Down",-4.917716756,1.55e-64
"MCM4",0.331235319279437,243.376334581769,"Up",2.653523545,1.37e-152
"ZNF423",0.331027933050171,207.012183257281,"Down",-1.775951332,1.79e-34
"CDKN1C",0.330650503557914,221.842350860364,"Down",-1.449594948,4.2e-21
"UHRF1",0.330545354242036,233.871252134113,"Up",3.93833227,4.97e-145
"FAM83D",0.330306661260268,225.182373817074,"Up",4.468028781,4.99e-249
"RAD51AP1",0.330204362341217,241.239519408211,"Up",3.347943398,9.48e-184
"DMD",0.329880770851735,210.699244160444,"Down",-1.68291545,1.49e-29
"IL12RB2",0.329810239698122,204.926900576202,"Up",3.612479552,1.52e-68
"CD7",0.329662522202487,209.382870904328,"Up",1.874259907,9.29e-32
"SPC24",0.329519617211832,232.951465158342,"Up",3.945232724,2.13e-232
"EDNRB",0.329282402807757,206.593457057401,"Down",-2.140222002,2.06e-46
"STMN1",0.329104155791098,213.186367705813,"Up",2.871847203,3.37e-198
"CENPU",0.328930578634257,235.029290411976,"Up",2.814686443,3.95e-143
"SPC25",0.328879660097201,242.215678346078,"Up",3.413078204,3.74e-202
"UBE2T",0.328763147691743,236.374095020503,"Up",3.95043293,1.69e-254
"CDCA2",0.328659567620006,242.093021188606,"Up",4.392291755,8.35e-201
"IQGAP3",0.328571129134685,222.776549896028,"Up",4.664511161,7.85e-218
"ERCC6L",0.328356282418106,234.169400957027,"Up",3.561867438,3.74e-202
"KIF18A",0.328131320417406,241.422809851103,"Up",3.336781224,6.99e-203
"ZBTB16",0.327466599818312,207.260844440798,"Down",-4.742812339,5.86e-89
"CD24",0.327410958331875,205.871948322474,"Up",1.977675374,1.29e-30
"SKA1",0.327243408725325,242.353393014986,"Up",4.445909697,6.43e-271
"SHC4",0.327015727765045,205.984599724185,"Up",2.4629358,9.84e-27
"CD3E",0.327012224619059,206.710983511249,"Up",1.237915525,5.43e-15
"SKA3",0.32684821394357,237.512485240082,"Up",4.05393479,3.64e-219
"CX3CR1",0.326481169072776,210.120542894447,"Down",-1.90855532,2.35e-26
"GTSE1",0.326289786960897,232.210993765277,"Up",4.138146539,1.26e-243
"KNL1",0.326232893162665,237.122726746181,"Up",3.474601183,7.32e-159
"CENPI",0.325997820311126,232.918708354794,"Up",2.97563469,3.19e-195
"DTL",0.325816887538684,236.813903605336,"Up",3.444553177,2.36e-166
"GPC3",0.325725764739512,209.686402909955,"Down",-3.131922879,9.04e-54
"TIMP4",0.325522477607701,203.838760682836,"Down",-5.585951714,5.54e-110
"GINS1",0.325112107623318,223.61484238023,"Up",3.185728784,8.02e-217
"TROAP",0.324815695094387,234.135735790921,"Up",4.343728507,1.57e-226
"RBP4",0.324251858717875,202.538692672615,"Down",-5.014690526,1.66e-77
"AKAP12",0.323999177712432,203.221963292113,"Down",-3.136779821,2.78e-77
"TAL1",0.32388591621183,204.791989279514,"Down",-2.195677023,9.23e-64
"IL32",0.322495626848095,207.591537127906,"Up",1.938327442,9.47e-37
"CKAP2L",0.321935163368219,234.994065159802,"Up",4.232223862,8.81e-208
"STIL",0.321040436703557,220.383082017255,"Up",3.087490007,3.52e-187
"E2F2",0.320805686889225,209.522156804621,"Up",3.527894754,5.58e-147
"ORC6",0.320663264318858,220.074964050564,"Up",3.616841146,9.76e-228
"KPNA2",0.320180184158809,227.740659535336,"Up",2.810775676,2.96e-231
"PRKAR2B",0.319807321602654,210.292576630441,"Down",-2.70391762,6.73e-48
"CXCL14",0.319218552982299,202.87930631272,"Down",-2.073201459,3.88e-24
"LMNB1",0.319159005016299,215.682002230571,"Up",3.109210954,6.93e-171
"H4C8",0.31878448574841,215.875776489272,"Up",2.486437201,1.23e-32
"COL9A2",0.317355574487457,202.421464695545,"Up",1.445669562,2.6e-13
"COL9A3",0.317339078994451,202.379803129616,"Up",4.859887406,1.59e-84
"CENPW",0.316356964107666,221.433985944444,"Up",3.150625201,3.99e-154
"CBX2",0.316252947831895,211.789844434882,"Up",3.761870018,3.48e-228
"TICRR",0.316174678878278,219.966191686665,"Up",3.257622509,3.66e-192
"PIMREG",0.31594096479655,218.941264015607,"Up",4.325430952,1.6e-185
"KIF18B",0.315917732843625,228.472367369328,"Up",4.622485558,1.28e-201
"ARHGAP11A",0.31516121039293,222.037881674927,"Up",3.106261219,2.71e-208
"PKMYT1",0.315024267731521,216.594496660237,"Up",4.548227498,2.54e-182
"SHCBP1",0.314451428639586,230.693613089817,"Up",3.37708337,1.32e-172
"MX1",0.31354046104503,202.47235133158,"Up",1.913995875,8.65e-34
