"Time_Years","Cutoff","Sensitivity","Specificity","Youden"
1,NA,1,0.903225806451613,0.903225806451613
3,NA,0.757816425736488,0.975609756097561,0.733426181834049
5,NA,0.844421364662154,0.88,0.724421364662154
