"Time_Point_Years","Time_Point_Days","AUC","SE","CI_Lower","CI_Upper"
1,365.25,0.946838108128431,0.027535609119869,0.892868314253487,1.00080790200337
3,1095.75,0.900739362959184,0.0620429940531873,0.779135094614937,1.02234363130343
5,1826.25,0.881578759025011,0.0557998246977724,0.772211102617377,0.990946415432645
