"Gene","Coefficient","HR","Selection_Frequency","pval","lower_95","upper_95"
"IL12RB2",-0.500010169101367,0.606524491872234,0.93,0.001554987008091,0.589090950377635,0.883058664290109
"DMD",-0.485253784441344,0.615540962220954,0.9,0.0177987867358895,0.465431149466813,0.930169814576806
"RAD51",0.35132221655747,1.42094510419619,0.63,0.165705789493491,0.856623480662885,2.46554737266469
"KLF4",0.311980679930504,1.36612829908084,0.54,0.0220370866400504,1.074477684006,2.52373081643596
"OXTR",-0.240999770220643,0.78584180695855,0.54,0.127164403539073,0.512947884907814,1.08680266236887
"BMP7",-0.0487989042339965,0.952372628546314,0.65,0.0228204939232106,0.673593313503376,0.970914852085965
"VWF",0.0481572181044394,1.04933561691327,0.71,0.014287812170511,1.12608733503247,2.91177122275587
"SERPINE1",0.032078898076224,1.0325989721637,0.63,0.00678843080297185,1.13000793040918,2.14584466224152
"COL9A3",-0.00752609884109126,0.992502151325184,0.86,0.0208687152369302,0.695991024863842,0.970700687268657
